run MergerID Time "Mean Altitude" Observatory
run0016 MergerID000340 "2019-07-30 23:59:28.685987" 40 North
run0017 MergerID000132 "2019-09-27 16:17:47.607279" 20 South
run0017 MergerID000261 "2020-01-28 21:22:33.309404" 20 South
run0019 MergerID000070 "2019-09-25 21:04:35.668445" 40 South
run0019 MergerID000268 "2020-01-15 20:01:15.076340" 40 North
run0020 MergerID000430 "2019-08-25 19:30:19.460832" 40 South
run0021 MergerID000373 "2020-02-28 01:20:28.137649" 40 North
run0025 MergerID000397 "2019-09-22 17:26:31.720219" 40 South
run0026 MergerID000127 "2019-07-24 16:43:21.318436" 40 South
run0027 MergerID000296 "2019-07-30 16:47:43.748321" 40 South
run0029 MergerID000397 "2019-08-02 16:49:56.389507" 40 South
run0029 MergerID000446 "2019-07-04 21:17:14.511517" 20 South
run0032 MergerID000190 "2019-10-30 20:18:13.292664" 40 North
run0038 MergerID000228 "2019-12-28 23:24:50.573365" 20 North
run0042 MergerID000002 "2019-07-25 17:56:24.551349" 40 South
run0043 MergerID000231 "2019-06-29 22:25:52.347090" 40 North
run0043 MergerID000324 "2019-08-01 22:49:41.539203" 40 North
run0043 MergerID000380 "2019-07-29 22:47:34.764794" 40 North
run0046 MergerID000029 "2020-01-26 18:57:49.968661" 40 South
run0046 MergerID000300 "2020-02-26 02:31:42.461254" 40 North
run0048 MergerID000219 "2019-07-03 20:04:55.340121" 20 South
run0048 MergerID000465 "2019-09-28 21:07:38.496615" 40 South
run0051 MergerID000434 "2019-09-28 17:31:34.889814" 40 South
run0055 MergerID000324 "2019-08-25 19:31:12.748539" 40 South
run0055 MergerID000328 "2019-07-03 20:05:07.222134" 40 South
run0067 MergerID000038 "2019-10-28 17:53:21.393876" 40 South
run0067 MergerID000395 "2020-01-24 23:44:57.186450" 40 North
run0070 MergerID000064 "2019-07-01 21:15:53.550418" 40 North
run0076 MergerID000465 "2019-08-07 22:54:38.158317" 40 South
run0079 MergerID000383 "2019-09-21 19:50:59.613910" 20 North
run0086 MergerID000466 "2019-08-04 19:16:27.970628" 40 South
run0093 MergerID000008 "2019-09-01 17:12:36.861039" 40 South
run0096 MergerID000038 "2019-08-25 19:31:42.587387" 40 South
run0099 MergerID000496 "2019-06-26 15:12:25.853948" 40 South
run0101 MergerID000172 "2019-10-25 17:51:40.954348" 40 South
run0106 MergerID000232 "2019-09-25 21:06:14.052056" 40 South
run0109 MergerID000136 "2019-08-05 20:29:33.252660" 40 South
run0111 MergerID000027 "2019-12-30 00:38:51.415270" 40 North
run0111 MergerID000118 "2019-09-29 22:21:19.241098" 40 South
run0114 MergerID000299 "2019-06-30 23:39:53.481831" 40 North
run0115 MergerID000189 "2020-01-21 20:07:26.562342" 40 South
run0115 MergerID000211 "2020-03-04 21:50:31.102448" 40 South
run0118 MergerID000382 "2019-10-29 22:43:09.217553" 40 North
run0121 MergerID000156 "2019-08-02 16:51:39.966795" 40 South
run0122 MergerID000021 "2019-08-03 18:04:28.247062" 40 South
run0123 MergerID000111 "2020-02-22 01:18:10.562301" 40 North
run0124 MergerID000071 "2019-08-04 19:17:19.441062" 40 South
run0126 MergerID000229 "2019-12-20 17:20:40.440690" 40 South
run0126 MergerID000344 "2019-11-29 02:41:09.772090" 40 North
run0130 MergerID000461 "2019-07-05 22:31:58.002396" 40 South
run0132 MergerID000380 "2020-01-25 17:46:45.154412" 40 South
run0138 MergerID000218 "2019-12-31 23:28:58.495445" 40 North
run0141 MergerID000289 "2019-08-04 19:17:37.176062" 40 South
run0142 MergerID000123 "2019-07-06 20:08:48.895977" 40 South
run0146 MergerID000301 "2020-03-02 01:25:06.081418" 40 North
run0147 MergerID000002 "2019-08-28 23:11:09.763495" 40 South
run0151 MergerID000305 "2019-07-27 16:47:58.771822" 40 South
run0152 MergerID000079 "2019-06-30 23:40:47.656847" 40 North
run0158 MergerID000220 "2019-08-03 21:41:16.073990" 20 South
run0160 MergerID000149 "2019-11-01 01:09:30.506328" 40 North
run0162 MergerID000268 "2019-06-30 23:40:57.126983" 40 North
run0170 MergerID000418 "2020-03-29 19:45:26.546856" 40 South
run0173 MergerID000131 "2020-01-25 21:23:27.568829" 40 South
run0175 MergerID000139 "2019-09-21 16:16:38.036496" 40 South
run0176 MergerID000473 "2019-12-26 17:25:50.189523" 40 South
run0180 MergerID000255 "2020-02-28 19:24:01.408836" 40 South
run0181 MergerID000296 "2020-03-22 18:28:36.226856" 20 South
run0182 MergerID000054 "2020-03-28 22:09:04.911152" 40 South
run0183 MergerID000331 "2019-09-05 22:05:31.696198" 40 South
run0184 MergerID000003 "2019-06-27 20:03:06.903011" 40 South
run0185 MergerID000449 "2020-03-23 01:41:00.727965" 40 North
run0192 MergerID000017 "2020-02-25 19:22:09.039150" 40 South
run0193 MergerID000013 "2019-09-21 19:53:10.435752" 40 North
run0193 MergerID000134 "2020-03-19 22:02:53.200194" 20 North
run0199 MergerID000278 "2020-03-25 00:30:36.507264" 40 North
run0204 MergerID000284 "2019-07-29 22:50:31.569532" 40 North
run0207 MergerID000154 "2020-03-20 23:15:47.190172" 20 North
run0210 MergerID000082 "2019-08-28 19:36:07.477263" 40 South
run0211 MergerID000016 "2019-07-08 22:35:32.525153" 40 South
run0214 MergerID000101 "2019-12-24 00:36:36.618322" 40 North
run0218 MergerID000245 "2019-10-27 16:43:22.934952" 20 South
run0219 MergerID000029 "2019-09-28 17:34:34.540474" 40 South
run0221 MergerID000122 "2020-03-17 23:13:54.792997" 40 North
run0222 MergerID000318 "2019-10-31 21:34:33.078132" 40 North
run0226 MergerID000257 "2019-07-31 21:40:21.718355" 40 North
run0226 MergerID000474 "2019-07-03 16:32:05.784929" 40 South
run0231 MergerID000152 "2019-11-22 19:26:28.280767" 40 South
run0231 MergerID000320 "2020-01-23 00:58:36.314592" 40 North
run0233 MergerID000376 "2019-12-29 03:04:42.959776" 40 North
run0240 MergerID000371 "2020-01-19 17:44:19.440622" 40 South
run0242 MergerID000066 "2019-09-27 16:22:15.148784" 40 South
run0245 MergerID000155 "2019-11-28 19:31:02.096847" 40 South
run0245 MergerID000236 "2020-01-26 01:01:00.532958" 40 North
run0246 MergerID000002 "2020-03-24 17:19:18.350956" 40 South
run0251 MergerID000377 "2020-02-28 19:25:25.006680" 40 South
run0252 MergerID000066 "2019-10-28 21:32:58.101237" 40 South
run0254 MergerID000367 "2020-02-23 20:33:56.800711" 40 North
run0254 MergerID000456 "2019-12-30 00:41:47.913767" 20 North
run0256 MergerID000112 "2019-10-30 02:21:58.586253" 40 North
run0258 MergerID000165 "2019-06-30 16:30:36.515405" 40 South
run0266 MergerID000397 "2020-02-24 21:46:53.674544" 40 North
run0276 MergerID000003 "2019-09-22 17:31:12.874235" 40 South
run0278 MergerID000152 "2019-07-04 21:21:46.654037" 40 South
run0279 MergerID000405 "2019-12-25 01:50:31.191378" 40 North
run0284 MergerID000362 "2019-07-28 21:39:09.718596" 40 North
run0286 MergerID000099 "2019-06-30 23:43:06.710633" 40 North
run0290 MergerID000056 "2019-08-02 16:54:42.933499" 40 South
run0290 MergerID000069 "2019-11-26 02:41:51.418710" 40 North
run0294 MergerID000203 "2020-02-21 21:45:06.988743" 20 South
run0315 MergerID000225 "2020-01-19 21:21:23.545037" 20 North
run0317 MergerID000219 "2019-09-01 17:16:31.089962" 40 South
run0318 MergerID000143 "2019-10-27 23:57:05.176837" 40 North
run0328 MergerID000117 "2019-08-30 18:27:12.558782" 40 South
run0330 MergerID000007 "2020-03-18 17:15:56.496002" 40 South
run0332 MergerID000122 "2019-11-04 01:14:18.516054" 40 North
run0334 MergerID000299 "2019-09-27 16:23:27.054844" 40 South
run0335 MergerID000263 "2019-09-28 21:12:21.791345" 40 North
run0339 MergerID000241 "2019-11-26 02:42:20.154971" 40 North
run0340 MergerID000060 "2019-09-24 16:21:25.996104" 40 South
run0341 MergerID000126 "2019-06-29 15:18:48.597579" 40 South
run0344 MergerID000129 "2019-08-29 17:14:50.149530" 20 South
run0346 MergerID000093 "2019-11-02 20:25:46.743885" 40 South
run0358 MergerID000063 "2019-10-05 00:53:04.831915" 40 North
run0361 MergerID000216 "2020-01-26 19:03:01.998937" 40 South
run0363 MergerID000288 "2020-01-15 20:07:11.588359" 40 North
run0363 MergerID000327 "2019-09-30 16:26:05.425823" 40 South
run0364 MergerID000134 "2019-11-28 23:08:49.173301" 40 North
run0369 MergerID000392 "2019-09-02 22:06:11.757089" 20 South
run0370 MergerID000146 "2020-03-31 22:14:10.057927" 40 South
run0370 MergerID000157 "2019-10-27 20:21:50.356328" 40 North
run0371 MergerID000333 "2020-01-24 20:13:57.790022" 40 South
run0378 MergerID000234 "2020-03-20 23:18:25.454403" 40 North
run0398 MergerID000008 "2019-08-04 19:21:28.426223" 20 South
run0403 MergerID000285 "2019-07-24 16:49:31.563176" 40 South
run0406 MergerID000126 "2019-12-22 19:50:23.065765" 40 South
run0407 MergerID000101 "2019-10-31 21:37:02.731567" 40 North
run0410 MergerID000273 "2020-02-22 01:22:33.998648" 40 North
run0410 MergerID000425 "2019-12-25 01:52:08.957962" 20 North
run0419 MergerID000300 "2019-08-30 22:04:33.798592" 40 South
run0420 MergerID000152 "2020-03-20 23:18:48.501081" 40 North
run0421 MergerID000212 "2019-10-28 21:35:07.468441" 40 North
run0431 MergerID000202 "2020-01-27 02:16:06.883963" 40 North
