#
#N Pointing	tstart	tend	Obs time
#		s
1	210	212	2
2	212	214	2
3	214	216	2
4	216	218	2
5	218	220	2
6	220	222	2
7	222	224	2
8	224	226	2
9	226	228	2
10	228	230	2
11	230	232	2
12	232	234	2
13	234	236	2
14	236	238	2
15	238	240	2
16	240	242	2
17	242	244	2
18	244	246	2
19	246	248	2
20	248	250	2
21	250	252	2
22	252	254	2
23	254	256	2
24	256	258	2
25	258	260	2
26	260	262	2
27	262	264	2
28	264	266	2
29	266	268	2
30	268	270	2
31	270	272	2
32	272	274	2
33	274	276	2
34	276	278	2
35	278	280	2
36	280	282	2
37	282	284	2
38	284	286	2
39	286	288	2
40	288	290	2
41	290	292	2
42	292	294	2
43	294	296	2
44	296	298	2
45	298	300	2
46	300	302	2
47	302	304	2
48	304	306	2
49	306	308	2
50	308	310	2
51	310	312	2
52	312	314	2
53	314	316	2
54	316	318	2
55	318	320	2
56	320	322	2
57	322	324	2
58	324	326	2
59	326	328	2
60	328	330	2
61	330	332	2
62	332	334	2
63	334	336	2
64	336	338	2
65	338	340	2
66	340	342	2
67	342	344	2
68	344	346	2
69	346	348	2
70	348	350	2
71	350	352	2
72	352	354	2
73	354	356	2
74	356	358	2
75	358	360	2
76	360	362	2
77	362	364	2
78	364	366	2
79	366	368	2
80	368	370	2
81	370	372	2
82	372	374	2
83	374	376	2
84	376	378	2
85	378	380	2
86	380	382	2
87	382	384	2
88	384	386	2
89	386	388	2
90	388	390	2
91	390	392	2
92	392	394	2
93	394	396	2
94	396	398	2
95	398	400	2
96	400	402	2
97	402	404	2
98	404	406	2
99	406	408	2
100	408	410	2
101	410	412	2
102	412	414	2
103	414	416	2
104	416	418	2
105	418	420	2
106	420	422	2
107	422	424	2
108	424	426	2
109	426	428	2
110	428	430	2
111	430	432	2
112	432	434	2
113	434	436	2
114	436	438	2
115	438	440	2
116	440	442	2
117	442	444	2
118	444	446	2
119	446	448	2
120	448	450	2
121	450	452	2
122	452	454	2
123	454	456	2
124	456	458	2
125	458	460	2
126	460	462	2
127	462	464	2
128	464	466	2
129	466	468	2
130	468	470	2
131	470	472	2
132	472	474	2
133	474	476	2
134	476	478	2
135	478	480	2
136	480	482	2
137	482	484	2
138	484	486	2
139	486	488	2
140	488	490	2
141	490	492	2
142	492	494	2
143	494	496	2
144	496	498	2
145	498	500	2
146	500	502	2
147	502	504	2
148	504	506	2
149	506	508	2
150	508	510	2
151	510	512	2
152	512	514	2
153	514	516	2
154	516	518	2
155	518	520	2
156	520	522	2
157	522	524	2
158	524	526	2
159	526	528	2
160	528	530	2
161	530	532	2
162	532	534	2
163	534	536	2
164	536	538	2
165	538	540	2
166	540	542	2
167	542	544	2
168	544	546	2
169	546	548	2
170	548	550	2
171	550	552	2
172	552	554	2
173	554	556	2
174	556	558	2
175	558	560	2
176	560	562	2
177	562	564	2
178	564	566	2
179	566	568	2
180	568	570	2
181	570	572	2
182	572	574	2
183	574	576	2
184	576	578	2
185	578	580	2
186	580	582	2
187	582	584	2
188	584	586	2
189	586	588	2
190	588	590	2
191	590	592	2
192	592	594	2
193	594	596	2
194	596	598	2
195	598	600	2
196	600	602	2
197	602	604	2
198	604	606	2
199	606	608	2
200	608	610	2
201	610	612	2
202	612	614	2
203	614	616	2
204	616	618	2
205	618	620	2
206	620	622	2
207	622	624	2
208	624	626	2
209	626	628	2
210	628	630	2
211	630	632	2
212	632	634	2
213	634	636	2
214	636	638	2
215	638	640	2
216	640	642	2
217	642	644	2
218	644	646	2
219	646	648	2
220	648	650	2
221	650	652	2
222	652	654	2
223	654	656	2
224	656	658	2
225	658	660	2
226	660	662	2
227	662	664	2
228	664	666	2
229	666	668	2
230	668	670	2
231	670	672	2
232	672	674	2
233	674	676	2
234	676	678	2
235	678	680	2
236	680	682	2
237	682	684	2
238	684	686	2
239	686	688	2
240	688	690	2
241	690	692	2
242	692	694	2
243	694	696	2
244	696	698	2
245	698	700	2
246	700	702	2
247	702	704	2
248	704	706	2
249	706	708	2
250	708	710	2
251	710	712	2
252	712	714	2
253	714	716	2
254	716	718	2
255	718	720	2
256	720	723	3
257	723	726	3
258	726	729	3
259	729	732	3
260	732	735	3
261	735	738	3
262	738	741	3
263	741	744	3
264	744	747	3
265	747	750	3
266	750	753	3
267	753	756	3
268	756	759	3
269	759	762	3
270	762	765	3
271	765	768	3
272	768	771	3
273	771	774	3
274	774	777	3
275	777	780	3
276	780	783	3
277	783	786	3
278	786	789	3
279	789	792	3
280	792	795	3
281	795	798	3
282	798	801	3
283	801	804	3
284	804	807	3
285	807	810	3
286	810	813	3
287	813	816	3
288	816	819	3
289	819	822	3
290	822	825	3
291	825	828	3
292	828	831	3
293	831	834	3
294	834	837	3
295	837	840	3
296	840	843	3
297	843	846	3
298	846	849	3
299	849	852	3
300	852	855	3
301	855	858	3
302	858	861	3
303	861	864	3
304	864	867	3
305	867	870	3
306	870	873	3
307	873	876	3
308	876	879	3
309	879	882	3
310	882	885	3
311	885	888	3
312	888	891	3
313	891	894	3
314	894	897	3
315	897	900	3
316	900	903	3
317	903	906	3
318	906	909	3
319	909	912	3
320	912	915	3
321	915	918	3
322	918	921	3
323	921	924	3
324	924	927	3
325	927	930	3
326	930	933	3
327	933	936	3
328	936	939	3
329	939	942	3
330	942	945	3
331	945	948	3
332	948	951	3
333	951	954	3
334	954	957	3
335	957	960	3
336	960	963	3
337	963	966	3
338	966	969	3
339	969	972	3
340	972	975	3
341	975	978	3
342	978	981	3
343	981	984	3
344	984	987	3
345	987	990	3
346	990	993	3
347	993	996	3
348	996	999	3
349	999	1002	3
350	1002	1005	3
351	1005	1008	3
352	1008	1011	3
353	1011	1014	3
354	1014	1017	3
355	1017	1020	3
356	1020	1023	3
357	1023	1026	3
358	1026	1029	3
359	1029	1032	3
360	1032	1035	3
361	1035	1038	3
362	1038	1041	3
363	1041	1044	3
364	1044	1047	3
365	1047	1050	3
366	1050	1053	3
367	1053	1056	3
368	1056	1059	3
369	1059	1062	3
370	1062	1065	3
371	1065	1068	3
372	1068	1071	3
373	1071	1074	3
374	1074	1077	3
375	1077	1080	3
376	1080	1083	3
377	1083	1086	3
378	1086	1089	3
379	1089	1092	3
380	1092	1095	3
381	1095	1098	3
382	1098	1101	3
383	1101	1104	3
384	1104	1107	3
385	1107	1110	3
386	1110	1113	3
387	1113	1116	3
388	1116	1119	3
389	1119	1123	4
390	1123	1127	4
391	1127	1131	4
392	1131	1135	4
393	1135	1139	4
394	1139	1143	4
395	1143	1147	4
396	1147	1151	4
397	1151	1155	4
398	1155	1159	4
399	1159	1163	4
400	1163	1167	4
401	1167	1171	4
402	1171	1175	4
403	1175	1179	4
404	1179	1183	4
405	1183	1187	4
406	1187	1191	4
407	1191	1195	4
408	1195	1199	4
409	1199	1203	4
410	1203	1207	4
411	1207	1211	4
412	1211	1215	4
413	1215	1219	4
414	1219	1223	4
415	1223	1227	4
416	1227	1231	4
417	1231	1235	4
418	1235	1239	4
419	1239	1243	4
420	1243	1247	4
421	1247	1251	4
422	1251	1255	4
423	1255	1259	4
424	1259	1263	4
425	1263	1267	4
426	1267	1271	4
427	1271	1275	4
428	1275	1279	4
429	1279	1283	4
430	1283	1287	4
431	1287	1291	4
432	1291	1295	4
433	1295	1299	4
434	1299	1303	4
435	1303	1307	4
436	1307	1311	4
437	1311	1315	4
438	1315	1319	4
439	1319	1323	4
440	1323	1327	4
441	1327	1331	4
442	1331	1335	4
443	1335	1339	4
444	1339	1343	4
445	1343	1347	4
446	1347	1351	4
447	1351	1355	4
448	1355	1359	4
449	1359	1363	4
450	1363	1367	4
451	1367	1371	4
452	1371	1375	4
453	1375	1379	4
454	1379	1383	4
455	1383	1387	4
456	1387	1391	4
457	1391	1395	4
458	1395	1399	4
459	1399	1403	4
460	1403	1407	4
461	1407	1411	4
462	1411	1415	4
463	1415	1419	4
464	1419	1423	4
465	1423	1427	4
466	1427	1431	4
467	1431	1435	4
468	1435	1439	4
469	1439	1443	4
470	1443	1447	4
471	1447	1451	4
472	1451	1455	4
473	1455	1459	4
474	1459	1463	4
475	1463	1467	4
476	1467	1472	5
477	1472	1477	5
478	1477	1482	5
479	1482	1487	5
480	1487	1492	5
481	1492	1497	5
482	1497	1502	5
483	1502	1507	5
484	1507	1512	5
485	1512	1517	5
486	1517	1522	5
487	1522	1527	5
488	1527	1532	5
489	1532	1537	5
490	1537	1542	5
491	1542	1547	5
492	1547	1552	5
493	1552	1557	5
494	1557	1562	5
495	1562	1567	5
496	1567	1572	5
497	1572	1577	5
498	1577	1582	5
499	1582	1587	5
500	1587	1592	5
501	1592	1597	5
502	1597	1602	5
503	1602	1607	5
504	1607	1612	5
505	1612	1617	5
506	1617	1622	5
507	1622	1627	5
508	1627	1632	5
509	1632	1637	5
510	1637	1642	5
511	1642	1647	5
512	1647	1652	5
513	1652	1657	5
514	1657	1662	5
515	1662	1667	5
516	1667	1672	5
517	1672	1677	5
518	1677	1682	5
519	1682	1687	5
520	1687	1692	5
521	1692	1697	5
522	1697	1702	5
523	1702	1707	5
524	1707	1712	5
525	1712	1717	5
526	1717	1722	5
527	1722	1728	6
528	1728	1734	6
529	1734	1740	6
530	1740	1746	6
531	1746	1752	6
532	1752	1758	6
533	1758	1764	6
534	1764	1770	6
535	1770	1776	6
536	1776	1782	6
537	1782	1788	6
538	1788	1794	6
539	1794	1800	6
540	1800	1806	6
541	1806	1812	6
542	1812	1818	6
543	1818	1824	6
544	1824	1830	6
545	1830	1836	6
546	1836	1842	6
547	1842	1848	6
548	1848	1854	6
549	1854	1860	6
550	1860	1866	6
551	1866	1872	6
552	1872	1878	6
553	1878	1884	6
554	1884	1890	6
555	1890	1896	6
556	1896	1902	6
557	1902	1908	6
558	1908	1915	7
559	1915	1922	7
560	1922	1929	7
561	1929	1936	7
562	1936	1943	7
563	1943	1950	7
564	1950	1957	7
565	1957	1964	7
566	1964	1971	7
567	1971	1978	7
568	1978	1985	7
569	1985	1992	7
570	1992	1999	7
571	1999	2006	7
572	2006	2013	7
573	2013	2020	7
574	2020	2027	7
575	2027	2034	7
576	2034	2041	7
577	2041	2048	7
578	2048	2055	7
579	2055	2062	7
580	2062	2069	7
581	2069	2076	7
582	2076	2083	7
583	2083	2090	7
584	2090	2097	7
585	2097	2105	8
586	2105	2113	8
587	2113	2121	8
588	2121	2129	8
589	2129	2137	8
590	2137	2145	8
591	2145	2153	8
592	2153	2161	8
593	2161	2169	8
594	2169	2177	8
595	2177	2185	8
596	2185	2193	8
597	2193	2201	8
598	2201	2209	8
599	2209	2217	8
600	2217	2225	8
601	2225	2233	8
602	2233	2241	8
603	2241	2249	8
604	2249	2257	8
605	2257	2265	8
606	2265	2273	8
607	2273	2281	8
608	2281	2289	8
609	2289	2297	8
610	2297	2305	8
611	2305	2313	8
612	2313	2322	9
613	2322	2331	9
614	2331	2340	9
615	2340	2349	9
616	2349	2358	9
617	2358	2367	9
618	2367	2376	9
619	2376	2385	9
620	2385	2394	9
621	2394	2403	9
622	2403	2412	9
623	2412	2421	9
624	2421	2430	9
625	2430	2439	9
626	2439	2448	9
627	2448	2457	9
628	2457	2466	9
629	2466	2475	9
630	2475	2484	9
631	2484	2494	10
632	2494	2504	10
633	2504	2514	10
634	2514	2524	10
635	2524	2534	10
636	2534	2544	10
637	2544	2554	10
638	2554	2564	10
639	2564	2574	10
640	2574	2584	10
641	2584	2594	10
642	2594	2604	10
643	2604	2614	10
644	2614	2624	10
645	2624	2634	10
646	2634	2644	10
647	2644	2654	10
648	2654	2664	10
649	2664	2674	10
650	2674	2684	10
651	2684	2695	11
652	2695	2706	11
653	2706	2717	11
654	2717	2728	11
655	2728	2739	11
656	2739	2750	11
657	2750	2761	11
658	2761	2772	11
659	2772	2783	11
660	2783	2794	11
661	2794	2805	11
662	2805	2816	11
663	2816	2827	11
664	2827	2838	11
665	2838	2849	11
666	2849	2860	11
667	2860	2871	11
668	2871	2883	12
669	2883	2895	12
670	2895	2907	12
671	2907	2919	12
672	2919	2931	12
673	2931	2943	12
674	2943	2955	12
675	2955	2967	12
676	2967	2979	12
677	2979	2991	12
678	2991	3003	12
679	3003	3015	12
680	3015	3027	12
681	3027	3040	13
682	3040	3053	13
683	3053	3066	13
684	3066	3079	13
685	3079	3092	13
686	3092	3105	13
687	3105	3118	13
688	3118	3131	13
689	3131	3144	13
690	3144	3157	13
691	3157	3171	14
692	3171	3185	14
693	3185	3199	14
694	3199	3213	14
695	3213	3227	14
696	3227	3241	14
697	3241	3255	14
698	3255	3269	14
699	3269	3283	14
700	3283	3297	14
701	3297	3311	14
702	3311	3325	14
703	3325	3340	15
704	3340	3355	15
705	3355	3370	15
