Pointing Time RAJ2000 DEJ2000 "Observation window" Priority
0 "2023-10-12 12:00" 314.4946 -29.2704 "2023-10-12 18:15:02-->2023-10-13 01:17:23" 19
1 "2023-10-12 12:30" 314.4727 -29.1636 "2023-10-12 18:15:02-->2023-10-13 01:17:23" 2
2 "2023-10-12 13:00" 314.5386 -29.356 "2023-10-12 18:15:02-->2023-10-13 01:18:49" 3
3 "2023-10-12 13:30" 314.4287 -29.0782 "2023-10-12 18:15:02-->2023-10-13 01:17:23" 4
4 "2023-10-12 14:00" 314.5605 -29.463 "2023-10-12 18:15:02-->2023-10-13 01:18:49" 5
5 "2023-10-12 14:30" 314.4067 -28.9715 "2023-10-12 18:15:02-->2023-10-13 01:17:23" 6
6 "2023-10-12 15:00" 314.6045 -29.5488 "2023-10-12 18:15:02-->2023-10-13 01:18:49" 7
7 "2023-10-12 15:30" 314.3628 -28.8863 "2023-10-12 18:15:02-->2023-10-13 01:15:56" 8
8 "2023-10-12 16:00" 314.6265 -29.656 "2023-10-12 18:15:02-->2023-10-13 01:18:49" 9
9 "2023-10-12 16:30" 314.3188 -28.8011 "2023-10-12 18:15:02-->2023-10-13 01:15:56" 10
10 "2023-10-12 17:00" 314.6704 -29.7419 "2023-10-12 18:15:02-->2023-10-13 01:18:49" 11
11 "2023-10-12 17:30" 314.2969 -28.6948 "2023-10-12 18:15:02-->2023-10-13 01:15:56" 12
12 "2023-10-12 18:00" 314.6924 -29.8064 "2023-10-12 18:15:02-->2023-10-13 01:20:16" 13
13 "2023-10-12 18:30" 314.2749 -28.631 "2023-10-12 18:15:02-->2023-10-13 01:15:56" 14
14 "2023-10-12 19:00" 314.4067 -29.0142 "2023-10-12 18:15:02-->2023-10-13 01:17:23" 15
15 "2023-10-12 19:30" 314.4727 -29.2063 "2023-10-12 18:15:02-->2023-10-13 01:17:23" 16
16 "2023-10-12 20:00" 314.5386 -29.3988 "2023-10-12 18:15:02-->2023-10-13 01:18:49" 17
17 "2023-10-12 20:30" 314.3188 -28.7586 "2023-10-12 18:15:02-->2023-10-13 01:15:56" 18
18 "2023-10-12 21:00" 314.6265 -29.6131 "2023-10-12 18:15:02-->2023-10-13 01:18:49" 1
19 "2023-10-12 21:30" 314.3848 -28.9502 "2023-10-12 18:15:02-->2023-10-13 01:15:56" 0
