"Observation Time UTC" RA(deg) DEC(deg) PGW Pgal Round ObsName
"2017-08-17 22:36:23" 11.8182 -23.099 0.3875 0.252 1 TMT
"2017-08-17 22:51:23" 12.7184 -25.5771 0.4641 0.5081 1 TMT
"2017-08-17 23:06:23" 12.1732 -23.5196 0.0051 0.122 1 TMT
"2017-08-17 23:21:23" 13.1745 -26.0678 0.0205 0.3878 1 TMT
"2017-08-17 23:36:23" 11.9192 -23.6584 0.0015 0.219 1 TMT
"2017-08-17 23:51:23" 13.1745 -26.0678 0.0 0.3619 1 TMT
"2017-08-18 00:06:23" 11.9192 -23.6584 0.0 0.219 1 TMT
"2017-08-18 00:21:23" 13.1745 -26.0678 0.0 0.3619 1 TMT
"2017-08-18 03:20:43" 12.1782 -23.7731 0.0046 0.2279 1 ELT
"2017-08-18 03:40:43" 12.8009 -26.3131 0.0056 0.1938 1 ELT
"2017-08-18 04:00:43" 12.1749 -23.3686 0.0004 0.1615 1 ELT
"2017-08-18 04:20:43" 13.2788 -26.6497 0.0018 0.301 1 ELT
"2017-08-18 04:40:43" 12.189 -23.7164 0.0 0.2251 1 ELT
"2017-08-18 05:00:43" 13.5257 -26.4876 0.0008 0.2145 1 ELT
"2017-08-18 05:20:43" 11.9192 -23.6584 0.0003 0.2157 1 ELT
"2017-08-18 05:40:43" 13.7047 -26.3713 0.0004 0.2425 1 ELT
"2017-08-18 06:00:43" 11.9192 -23.6584 0.0 0.215 1 ELT
"2017-08-18 06:20:43" 13.5257 -26.4876 0.0 0.2425 1 ELT
"2017-08-18 06:40:43" 11.9192 -23.6584 0.0 0.2157 1 ELT
"2017-08-18 07:00:43" 12.5046 -26.302 0.0001 0.2378 1 ELT
"2017-08-18 07:20:43" 12.1749 -23.3686 0.0 0.1606 1 ELT
"2017-08-18 07:40:43" 13.2788 -26.6497 0.0 0.301 1 ELT
