"Observation Time UTC" RA(deg) DEC(deg) PGW Round ObsName
"2023-10-12 00:30:10" 29.8828 19.6296 0.0611 1 LST1
"2023-10-12 00:30:10" 27.2461 16.646 0.0482 1 LST2
"2023-10-12 00:30:10" 33.2227 21.7028 0.0476 1 LST3
"2023-10-12 00:30:10" 31.2891 16.1794 0.045 1 LST4
"2023-10-12 00:50:10" 29.3555 23.318 0.0437 1 LST1
"2023-10-12 00:50:10" 25.8398 20.4236 0.0424 1 LST2
"2023-10-12 00:50:10" 34.4531 18.3671 0.0376 1 LST3
"2023-10-12 00:50:10" 28.8281 13.0948 0.0327 1 LST4
"2023-10-12 01:10:10" 23.3789 17.27 0.0284 1 LST1
"2023-10-12 01:10:10" 33.0469 25.4477 0.0278 1 LST2
"2023-10-12 01:10:10" 24.7852 13.5548 0.0272 1 LST3
"2023-10-12 01:10:10" 37.2656 21.2218 0.0272 1 LST4
"2023-10-12 01:30:10" 34.4531 14.3235 0.0238 1 LST1
"2023-10-12 01:30:10" 25.6641 24.1329 0.0231 1 LST2
"2023-10-12 01:30:10" 37.2656 25.1177 0.0206 1 LST3
"2023-10-12 01:30:10" 31.9922 11.263 0.0197 1 LST4
"2023-10-12 01:50:10" 26.7188 10.0484 0.0186 1 LST1
"2023-10-12 01:50:10" 28.8281 26.7771 0.0182 1 LST2
"2023-10-12 01:50:10" 37.793 17.27 0.0178 1 LST3
"2023-10-12 01:50:10" 22.3242 21.0618 0.017 1 LST4
"2023-10-12 02:10:10" 40.7812 23.1556 0.0138 1 LST1
"2023-10-12 02:10:10" 21.0937 14.3235 0.0134 1 LST2
"2023-10-12 02:10:10" 22.6758 10.5033 0.0122 1 LST3
"2023-10-12 02:10:10" 29.8828 8.2347 0.0122 1 LST4
