"Observation Time UTC" RA(deg) DEC(deg) PGW Pgal Round ObsName Duration
"2023-06-15 21:44:55" 201.593 12.609 0.0488 0.0972 1 CTA-N 15
"2023-06-15 21:59:55" 199.747 15.9112 0.0489 0.0398 1 CTA-N 15
"2023-06-15 22:14:55" 202.2051 10.3817 0.0359 0.0315 1 CTA-N 15
"2023-06-15 22:29:55" 203.4333 5.8775 0.0462 0.0919 1 CTA-N 15
"2023-06-15 22:44:55" 198.4339 19.8468 0.0381 0.0291 1 CTA-N 15
"2023-06-15 22:59:55" 205.4253 4.4498 0.0223 0.0484 1 CTA-N 15
"2023-06-15 23:14:55" 204.367 2.2204 0.0235 0.0356 1 CTA-N 15
"2023-06-15 23:22:09" 200.379 6.6013 0.1002 0.0677 1 CTA-S 20
"2023-06-15 23:29:55" 193.72 26.5759 0.022 0.1612 1 CTA-N 15
"2023-06-15 23:42:09" 206.9318 -1.219 0.0721 0.0627 1 CTA-S 20
"2023-06-15 23:44:55" 198.0351 12.6736 0.0602 0.0266 1 CTA-N 15
"2023-06-15 23:59:55" 190.6968 27.2721 0.0123 0.0306 1 CTA-N 15
"2023-06-16 01:02:09" 194.953 12.6568 0.0787 0.0243 1 CTA-S 20
"2023-06-16 01:42:09" 196.04 20.2505 0.1209 0.0317 1 CTA-S 20
"2023-06-16 01:44:55" 195.848 27.3069 0.0058 0.0326 1 CTA-N 15
"2023-06-16 02:02:09" 202.318 17.0552 0.0225 0.0215 1 CTA-S 20
"2023-06-16 03:02:09" 207.065 7.3673 0.0294 0.0209 1 CTA-S 20
