"Observation Time UTC" RA(deg) DEC(deg) PGW Pgal Round ObsName Duration
"2023-06-15 21:44:55" 201.593 12.609 0.0488 0.0972 1 CTAO-N 15
"2023-06-15 21:59:55" 199.747 15.9112 0.0489 0.0398 1 CTAO-N 15
"2023-06-15 22:14:55" 202.2051 10.3817 0.0359 0.0315 1 CTAO-N 15
"2023-06-15 22:29:55" 203.4333 5.8775 0.0462 0.0919 1 CTAO-N 15
"2023-06-15 22:44:55" 198.4339 19.8468 0.0381 0.0291 1 CTAO-N 15
"2023-06-15 22:59:55" 205.4253 4.4498 0.0223 0.0484 1 CTAO-N 15
"2023-06-15 23:14:55" 204.367 2.2204 0.0235 0.0356 1 CTAO-N 15
"2023-06-15 23:29:55" 193.72 26.5759 0.022 0.1612 1 CTAO-N 15
"2023-06-15 23:44:55" 198.0351 12.6736 0.0602 0.0266 1 CTAO-N 15
"2023-06-15 23:59:55" 190.6968 27.2721 0.0123 0.0306 1 CTAO-N 15
"2023-06-16 01:44:55" 195.848 27.3069 0.0058 0.0326 1 CTAO-N 15
