"Observation Time UTC" RA(deg) DEC(deg) PGW Pgal Round ObsName
"2023-09-15 01:30:10" 23.5948 -32.8353 0.0001 0.501 1 ESO
"2023-09-15 01:30:10" 12.4239 -25.0508 0.0009 0.0039 1 ESO2
"2023-09-15 01:30:10" 12.4058 -25.2676 0.0038 0.0076 1 LP
"2023-09-15 01:30:10" 12.9492 -26.1828 0.0443 0.0474 1 LPL
"2023-09-15 01:30:10" 12.1684 -25.5981 0.1023 0.0703 1 OHP
"2023-09-15 01:30:10" 12.5417 -24.735 0.0009 0.0052 1 SA
"2023-09-15 01:35:10" 13.1353 -25.2449 0.0018 0.0038 1 ESO
"2023-09-15 01:35:10" 13.0993 -24.7357 0.0008 0.0054 1 ESO2
"2023-09-15 01:35:10" 12.4731 -24.7072 0.0043 0.0036 1 LP
"2023-09-15 01:35:10" 12.4274 -23.6334 0.0402 0.0314 1 LPL
"2023-09-15 01:35:10" 12.8744 -24.6425 0.0013 0.0045 1 SA
"2023-09-15 01:40:10" 13.2654 -25.1785 0.0008 0.0035 1 ESO
"2023-09-15 01:40:10" 13.3238 -25.1856 0.0008 0.0061 1 ESO2
"2023-09-15 01:40:10" 13.1609 -25.6968 0.0038 0.0034 1 LP
"2023-09-15 01:40:10" 13.6844 -24.6902 0.0328 0.0233 1 LPL
"2023-09-15 01:45:10" 11.3958 -24.2485 0.0664 0.03 1 OHP
"2023-09-15 01:40:10" 13.3267 -25.6538 0.0016 0.003 1 SA
"2023-09-15 01:45:10" 13.3536 -25.8268 0.0007 0.0058 1 ESO
"2023-09-15 01:45:10" 12.6501 -24.0303 0.0008 0.0029 1 ESO2
"2023-09-15 01:45:10" 13.3908 -26.092 0.0013 0.0023 1 LP
"2023-09-15 01:45:10" 13.7228 -26.3812 0.0225 0.0188 1 LPL
"2023-09-15 01:45:10" 13.8415 -25.4486 0.0002 0.0024 1 SA
"2023-09-15 01:50:10" 11.8912 -24.9641 0.0007 0.002 1 ESO
"2023-09-15 01:50:10" 11.5071 -25.4589 0.0003 0.0023 1 ESO2
"2023-09-15 01:50:10" 11.9192 -23.6584 0.0018 0.0025 1 LP
"2023-09-15 01:50:10" 13.6809 -23.8774 0.0181 0.0187 1 LPL
"2023-09-15 01:50:10" 13.6014 -25.4641 0.0006 0.0017 1 SA
"2023-09-15 01:55:10" 12.973 -24.9743 0.0009 0.0017 1 ESO
"2023-09-15 01:55:10" 13.0173 -26.6524 0.0002 0.0017 1 ESO2
"2023-09-15 01:55:10" 12.8799 -24.9664 0.0038 0.0016 1 LP
"2023-09-15 02:00:10" 12.6699 -26.6769 0.0348 0.0314 1 OHP
"2023-09-15 01:55:10" 13.369 -25.1132 0.0011 0.0015 1 SA
"2023-09-15 02:00:10" 11.1993 -24.8721 0.0001 0.0016 1 ESO
"2023-09-15 02:00:10" 11.2793 -25.0848 0.0003 0.0012 1 ESO2
"2023-09-15 02:00:10" 11.7751 -23.1807 0.0013 0.0023 1 LP
"2023-09-15 02:00:10" 12.5911 -25.0564 0.001 0.0012 1 SA
"2023-09-15 02:05:10" 11.8675 -23.023 0.0002 0.0011 1 ESO
"2023-09-15 02:05:10" 11.7207 -23.0334 0.0004 0.0011 1 ESO2
"2023-09-15 02:05:10" 13.0033 -24.2865 0.0044 0.001 1 LP
"2023-09-15 02:05:10" 12.6067 -24.5754 0.0018 0.0011 1 SA
"2023-09-15 02:10:10" 11.2929 -25.2621 0.0004 0.0009 1 ESO
"2023-09-15 02:10:10" 13.9761 -25.4065 0.0002 0.0011 1 ESO2
"2023-09-15 02:10:10" 12.8522 -23.2266 0.0008 0.0029 1 LP
"2023-09-15 02:15:10" 13.1924 -22.975 0.0182 0.0095 1 OHP
"2023-09-15 02:10:10" 14.0278 -25.0356 0.0001 0.0008 1 SA
"2023-09-15 02:15:10" 11.4275 -22.9973 0.0004 0.0009 1 ESO
"2023-09-15 02:15:10" 11.4567 -25.5216 0.0003 0.0038 1 ESO2
"2023-09-15 02:15:10" 13.4906 -27.1452 0.0009 0.0019 1 LP
"2023-09-15 02:15:10" 11.363 -25.5766 0.0091 0.0108 1 LPL
"2023-09-15 02:15:10" 14.3291 -26.3879 0.0001 0.0007 1 SA
"2023-09-15 02:20:10" 14.2046 -26.0661 0.0012 0.0008 1 LP
"2023-09-15 02:30:10" 14.5534 -26.1771 0.0159 0.0097 1 OHP
"2023-09-15 02:25:10" 13.8573 -27.119 0.0009 0.001 1 LP
"2023-09-15 02:45:10" 10.8988 -24.7255 0.015 0.0083 1 OHP
