"Observation Time UTC" RA(deg) DEC(deg) PGW Round ObsName Duration FoV
"2023-10-12 20:42:18" 29.8828 19.4712 0.0943 1 LST1 15 2.5
"2023-10-12 20:42:18" 27.0703 15.7139 0.0661 1 LST2 15 2.5
"2023-10-12 20:42:18" 32.6953 23.318 0.0646 1 LST3 15 2.5
"2023-10-12 20:42:18" 25.3125 20.4236 0.0573 1 LST4 15 2.5
"2023-10-12 20:57:18" 32.3438 15.4041 0.0591 1 LST1 15 2.5
"2023-10-12 20:57:18" 34.4531 19.155 0.0533 1 LST2 15 2.5
"2023-10-12 20:57:18" 27.7734 23.9695 0.049 1 LST3 15 2.5
"2023-10-12 20:57:18" 29.1797 11.4152 0.0385 1 LST4 15 2.5
"2023-10-12 21:12:18" 37.9688 22.9934 0.0365 1 LST1 15 2.5
"2023-10-12 21:12:18" 22.5 16.646 0.0337 1 LST2 15 2.5
"2023-10-12 21:12:18" 24.2578 12.0247 0.0308 1 LST3 15 2.5
"2023-10-12 21:12:18" 35.5078 27.2796 0.0252 1 LST4 15 2.5
"2023-10-12 21:27:18" 37.2656 15.4041 0.0259 1 LST1 15 2.5
"2023-10-12 21:27:18" 34.1016 11.4152 0.0231 1 LST2 15 2.5
"2023-10-12 21:27:18" 30.2344 27.6159 0.023 1 LST3 15 2.5
"2023-10-12 21:27:18" 39.7266 19.4712 0.0208 1 LST4 15 2.5
"2023-10-12 21:42:18" 22.5 23.6433 0.0189 1 LST1 15 2.5
"2023-10-12 21:42:18" 40.7812 26.9444 0.018 1 LST2 15 2.5
"2023-10-12 21:42:18" 26.3672 7.7827 0.0175 1 LST3 15 2.5
"2023-10-12 21:42:18" 31.2891 7.1808 0.0143 1 LST4 15 2.5
"2023-10-12 21:57:18" 20.0391 20.1055 0.0139 1 LST1 15 2.5
"2023-10-12 21:57:18" 19.6875 12.9416 0.0124 1 LST2 15 2.5
"2023-10-12 21:57:18" 43.2422 22.6696 0.0124 1 LST3 15 2.5
"2023-10-12 21:57:18" 24.9609 27.9532 0.0123 1 LST4 15 2.5
