Pointing Time RAJ2000 DEJ2000 Pgw Pgal "Observation window" "RA(HH:MM:SS) Dec (DD:MM:SS)" PriorityGal PriorityGW
0 "2023-03-15 20:51" 189.4297 27.915 0.0123 0.0327 "2023-03-15 20:51:16-->2023-03-16 03:26:13" "12h37m43.128s +27d54m54s" 10 14
1 "2023-03-15 21:06" 193.0676 27.5331 0.0185 0.17 "2023-03-15 21:07:07-->2023-03-16 03:26:13" "12h52m16.224s +27d31m59.16s" 0 12
2 "2023-03-15 21:21" 195.988 26.7295 0.0152 0.1329 "2023-03-15 21:20:05-->2023-03-16 03:26:13" "13h03m57.12s +26d43m46.2s" 1 13
3 "2023-03-15 21:36" 197.431 21.3202 0.0372 0.0271 "2023-03-15 21:35:57-->2023-03-16 03:26:13" "13h09m43.44s +21d19m12.72s" 13 6
4 "2023-03-15 21:51" 198.764 16.0851 0.0575 0.0403 "2023-03-15 21:51:48-->2023-03-16 03:26:13" "13h15m03.36s +16d05m06.36s" 7 2
5 "2023-03-15 22:06" 201.3146 13.2759 0.0482 0.0799 "2023-03-15 22:07:40-->2023-03-16 03:26:13" "13h25m15.504s +13d16m33.24s" 3 3
6 "2023-03-15 22:21" 202.821 9.3534 0.048 0.0568 "2023-03-15 22:22:04-->2023-03-16 03:26:13" "13h31m17.04s +09d21m12.24s" 6 4
7 "2023-03-15 22:36" 203.641 4.9187 0.0435 0.1003 "2023-03-15 22:33:36-->2023-03-16 03:26:13" "13h34m33.84s +04d55m07.32s" 2 5
8 "2023-03-15 22:51" 199.282 9.6765 0.0621 0.0344 "2023-03-15 22:06:13-->2023-03-16 03:26:13" "13h17m07.68s +09d40m35.4s" 9 1
9 "2023-03-15 23:06" 204.367 2.2204 0.0341 0.059 "2023-03-15 22:43:42-->2023-03-16 03:26:13" "13h37m28.08s +02d13m13.44s" 5 9
10 "2023-03-15 23:21" 197.9681 12.3822 0.0651 0.0259 "2023-03-15 21:56:08-->2023-03-16 03:26:13" "13h11m52.344s +12d22m55.92s" 14 0
11 "2023-03-15 23:36" 199.9911 5.8078 0.036 0.0287 "2023-03-15 22:17:45-->2023-03-16 03:26:13" "13h19m57.864s +05d48m28.08s" 11 8
12 "2023-03-15 23:51" 204.374 7.307 0.0364 0.0646 "2023-03-15 22:32:10-->2023-03-16 03:26:13" "13h37m29.76s +07d18m25.2s" 4 7
13 "2023-03-16 00:06" 206.9102 3.3341 0.026 0.038 "2023-03-15 22:50:54-->2023-03-16 03:26:13" "13h47m38.448s +03d20m02.76s" 8 10
14 "2023-03-16 00:21" 208.54 -1.8474 0.0241 0.028 "2023-03-15 23:09:38-->2023-03-16 03:26:13" "13h54m09.6s -01d50m50.64s" 12 11
