Target Id RAJ2000 DEJ2000 Time Duration
gw_P1500071_0 0 189.4297 27.915 "2023-03-15 20:51" 15
gw_P1500071_1 1 193.0676 27.5331 "2023-03-15 21:06" 15
gw_P1500071_2 2 195.988 26.7295 "2023-03-15 21:21" 15
gw_P1500071_3 3 197.431 21.3202 "2023-03-15 21:36" 15
gw_P1500071_4 4 198.764 16.0851 "2023-03-15 21:51" 15
gw_P1500071_5 5 201.3146 13.2759 "2023-03-15 22:06" 15
gw_P1500071_6 6 202.821 9.3534 "2023-03-15 22:21" 15
gw_P1500071_7 7 203.641 4.9187 "2023-03-15 22:36" 15
gw_P1500071_8 8 199.282 9.6765 "2023-03-15 22:51" 15
gw_P1500071_9 9 204.367 2.2204 "2023-03-15 23:06" 15
gw_P1500071_10 10 197.9681 12.3822 "2023-03-15 23:21" 15
gw_P1500071_11 11 199.9911 5.8078 "2023-03-15 23:36" 15
gw_P1500071_12 12 204.374 7.307 "2023-03-15 23:51" 15
gw_P1500071_13 13 206.9102 3.3341 "2023-03-16 00:06" 15
gw_P1500071_14 14 208.54 -1.8474 "2023-03-16 00:21" 15
