Pointing Time RAJ2000 DEJ2000 "Observation window" Priority
0 "2023-03-15 20:51" 189.4297 27.915 "2023-03-15 20:51:16-->2023-03-16 03:26:13" 10
1 "2023-03-15 21:06" 193.0676 27.5331 "2023-03-15 21:07:07-->2023-03-16 03:26:13" 0
2 "2023-03-15 21:21" 195.988 26.7295 "2023-03-15 21:20:05-->2023-03-16 03:26:13" 1
3 "2023-03-15 21:36" 197.431 21.3202 "2023-03-15 21:35:57-->2023-03-16 03:26:13" 13
4 "2023-03-15 21:51" 198.764 16.0851 "2023-03-15 21:51:48-->2023-03-16 03:26:13" 7
5 "2023-03-15 22:06" 201.3146 13.2759 "2023-03-15 22:07:40-->2023-03-16 03:26:13" 3
6 "2023-03-15 22:21" 202.821 9.3534 "2023-03-15 22:22:04-->2023-03-16 03:26:13" 6
7 "2023-03-15 22:36" 203.641 4.9187 "2023-03-15 22:33:36-->2023-03-16 03:26:13" 2
8 "2023-03-15 22:51" 199.282 9.6765 "2023-03-15 22:06:13-->2023-03-16 03:26:13" 9
9 "2023-03-15 23:06" 204.367 2.2204 "2023-03-15 22:43:42-->2023-03-16 03:26:13" 5
10 "2023-03-15 23:21" 197.9681 12.3822 "2023-03-15 21:56:08-->2023-03-16 03:26:13" 14
11 "2023-03-15 23:36" 199.9911 5.8078 "2023-03-15 22:17:45-->2023-03-16 03:26:13" 11
12 "2023-03-15 23:51" 204.374 7.307 "2023-03-15 22:32:10-->2023-03-16 03:26:13" 4
13 "2023-03-16 00:06" 206.9102 3.3341 "2023-03-15 22:50:54-->2023-03-16 03:26:13" 8
14 "2023-03-16 00:21" 208.54 -1.8474 "2023-03-15 23:09:38-->2023-03-16 03:26:13" 12
