"Observation Time UTC" RA[deg] DEC[deg] PGW Round
"2024-06-12 22:51:47" 315.0 5.0797 0.1954 1
"2024-06-12 23:21:47" 318.5156 5.6792 0.1382 1
"2024-06-12 23:51:47" 315.7031 8.6873 0.1087 1
"2024-06-13 00:21:47" 317.1094 2.0894 0.0846 1
"2024-06-13 00:51:47" 312.1875 6.8801 0.0723 1
"2024-06-13 01:21:47" 313.2422 2.9855 0.0529 1
"2024-06-13 01:51:47" 319.5703 8.9893 0.0426 1
"2024-06-13 02:21:47" 320.625 3.2844 0.0407 1
"2024-06-13 02:51:47" 312.8906 10.5033 0.0301 1
"2024-06-13 03:21:47" 322.3828 6.5796 0.0245 1
"2024-06-13 03:51:47" 310.0781 3.8824 0.0218 1
