"Observation Time UTC" RA(deg) DEC(deg) PGW Pgal Round ObsName
"2023-03-15 18:31:44" 189.4297 27.915 0.0123 0.0322 1 CTA-N
"2023-03-15 18:46:44" 193.0676 27.5331 0.0168 0.1623 1 CTA-N
"2023-03-15 19:01:44" 195.988 26.7295 0.0113 0.0301 1 CTA-N
"2023-03-15 19:16:44" 197.431 21.3202 0.0372 0.0267 1 CTA-N
"2023-03-15 19:31:44" 198.764 16.0851 0.0575 0.0396 1 CTA-N
"2023-03-15 20:01:44" 198.3171 12.9971 0.0598 0.0257 1 CTA-N
"2023-03-16 00:31:44" 200.937 14.6934 0.0238 0.0408 1 CTA-N
"2023-03-16 03:13:10" 202.6103 7.6758 0.1762 0.2136 1 CTA-S
"2023-03-16 03:33:10" 205.113 2.0021 0.0931 0.1139 1 CTA-S
"2023-03-16 03:53:10" 195.368 12.5637 0.0805 0.0244 1 CTA-S
"2023-03-16 04:13:10" 201.0962 12.0036 0.0382 0.0429 1 CTA-S
"2023-03-16 04:33:10" 209.798 -2.7983 0.0491 0.0428 1 CTA-S
