Pointing Time RAJ2000 DEJ2000 "Observation window" Priority
0 "2017-08-17 13:50" 40.3898 -48.0434 "2017-08-17 13:49:32-->2017-08-17 17:08:28" 49
1 "2017-08-17 14:00" 41.6704 -48.3368 "2017-08-17 13:54:35-->2017-08-17 17:08:28" 23
2 "2017-08-17 14:10" 42.1685 -48.4345 "2017-08-17 13:56:02-->2017-08-17 17:08:28" 22
3 "2017-08-17 14:20" 41.9663 -48.4345 "2017-08-17 13:55:18-->2017-08-17 17:08:28" 21
4 "2017-08-17 14:30" 42.4662 -48.5323 "2017-08-17 13:57:28-->2017-08-17 17:08:28" 20
5 "2017-08-17 14:40" 41.4686 -48.3368 "2017-08-17 13:53:52-->2017-08-17 17:08:28" 19
6 "2017-08-17 14:50" 42.6689 -48.5323 "2017-08-17 13:58:11-->2017-08-17 17:08:28" 18
7 "2017-08-17 15:00" 41.1745 -48.239 "2017-08-17 13:52:25-->2017-08-17 17:08:28" 17
8 "2017-08-17 15:10" 41.3758 -48.239 "2017-08-17 13:53:09-->2017-08-17 17:08:28" 16
9 "2017-08-17 15:20" 41.8722 -48.3368 "2017-08-17 13:55:18-->2017-08-17 17:08:28" 15
10 "2017-08-17 15:30" 40.9732 -48.239 "2017-08-17 13:51:42-->2017-08-17 17:08:28" 14
11 "2017-08-17 15:40" 42.9684 -48.6299 "2017-08-17 13:58:55-->2017-08-17 17:08:28" 12
12 "2017-08-17 15:50" 43.1716 -48.6299 "2017-08-17 14:00:21-->2017-08-17 17:08:28" 1
13 "2017-08-17 16:00" 42.2635 -48.5323 "2017-08-17 13:56:45-->2017-08-17 17:08:28" 11
14 "2017-08-17 16:10" 40.6808 -48.1412 "2017-08-17 13:50:59-->2017-08-17 17:08:28" 10
15 "2017-08-17 16:20" 42.3708 -48.4345 "2017-08-17 13:57:28-->2017-08-17 17:08:28" 9
16 "2017-08-17 16:30" 41.764 -48.4345 "2017-08-17 13:54:35-->2017-08-17 17:08:28" 8
17 "2017-08-17 16:40" 42.7652 -48.6299 "2017-08-17 13:58:11-->2017-08-17 17:08:28" 7
18 "2017-08-17 16:50" 40.8817 -48.1412 "2017-08-17 13:51:42-->2017-08-17 17:08:28" 6
19 "2017-08-17 17:00" 42.8716 -48.5323 "2017-08-17 13:58:55-->2017-08-17 17:08:28" 5
20 "2017-08-17 17:10" 43.4729 -48.7276 "2017-08-17 14:01:04-->2017-08-17 17:08:28" 4
21 "2017-08-17 17:20" 41.2668 -48.3368 "2017-08-17 13:53:09-->2017-08-17 17:08:28" 3
