Target Id RAJ2000 DEJ2000 Time Duration
gw_data_0 0 40.3898 -48.0434 "2017-08-17 13:50" 10
gw_data_1 1 41.6704 -48.3368 "2017-08-17 14:00" 10
gw_data_2 2 42.1685 -48.4345 "2017-08-17 14:10" 10
gw_data_3 3 41.9663 -48.4345 "2017-08-17 14:20" 10
gw_data_4 4 42.4662 -48.5323 "2017-08-17 14:30" 10
gw_data_5 5 41.4686 -48.3368 "2017-08-17 14:40" 10
gw_data_6 6 42.6689 -48.5323 "2017-08-17 14:50" 10
gw_data_7 7 41.1745 -48.239 "2017-08-17 15:00" 10
gw_data_8 8 41.3758 -48.239 "2017-08-17 15:10" 10
gw_data_9 9 41.8722 -48.3368 "2017-08-17 15:20" 10
gw_data_10 10 40.9732 -48.239 "2017-08-17 15:30" 10
gw_data_11 11 42.9684 -48.6299 "2017-08-17 15:40" 10
gw_data_12 12 43.1716 -48.6299 "2017-08-17 15:50" 10
gw_data_13 13 42.2635 -48.5323 "2017-08-17 16:00" 10
gw_data_14 14 40.6808 -48.1412 "2017-08-17 16:10" 10
gw_data_15 15 42.3708 -48.4345 "2017-08-17 16:20" 10
gw_data_16 16 41.764 -48.4345 "2017-08-17 16:30" 10
gw_data_17 17 42.7652 -48.6299 "2017-08-17 16:40" 10
gw_data_18 18 40.8817 -48.1412 "2017-08-17 16:50" 10
gw_data_19 19 42.8716 -48.5323 "2017-08-17 17:00" 10
gw_data_20 20 43.4729 -48.7276 "2017-08-17 17:10" 10
gw_data_21 21 41.2668 -48.3368 "2017-08-17 17:20" 10
gw_data_22 22 41.0826 -48.1412 "2017-08-17 17:30" 10
gw_data_23 23 43.2692 -48.7276 "2017-08-17 17:40" 10
gw_data_24 24 41.5772 -48.239 "2017-08-17 17:50" 10
gw_data_25 25 43.6765 -48.7276 "2017-08-17 18:00" 10
gw_data_26 26 40.4799 -48.1412 "2017-08-17 18:10" 10
gw_data_27 27 42.074 -48.3368 "2017-08-17 18:20" 10
gw_data_28 28 43.3747 -48.6299 "2017-08-17 18:30" 10
gw_data_29 29 42.0608 -48.5323 "2017-08-17 18:40" 10
gw_data_30 30 40.1893 -48.0434 "2017-08-17 18:50" 10
gw_data_31 31 42.573 -48.4345 "2017-08-17 19:00" 10
gw_data_32 32 40.5902 -48.0434 "2017-08-17 19:10" 10
gw_data_33 33 42.5621 -48.6299 "2017-08-17 19:20" 10
gw_data_34 34 40.7718 -48.239 "2017-08-17 19:30" 10
gw_data_35 35 43.7755 -48.8252 "2017-08-17 19:40" 10
gw_data_36 36 41.5618 -48.4345 "2017-08-17 19:50" 10
gw_data_37 37 40.1 -47.9455 "2017-08-17 20:00" 10
gw_data_38 38 44.1837 -48.8252 "2017-08-17 20:10" 10
gw_data_39 39 43.0656 -48.7276 "2017-08-17 20:20" 10
gw_data_40 40 43.8801 -48.7276 "2017-08-17 20:30" 10
gw_data_41 41 39.9 -47.9455 "2017-08-17 20:40" 10
gw_data_42 42 43.9796 -48.8252 "2017-08-17 20:50" 10
gw_data_43 43 43.0743 -48.5323 "2017-08-17 21:00" 10
gw_data_44 44 39.9889 -48.0434 "2017-08-17 21:10" 10
gw_data_45 45 39.7 -47.9455 "2017-08-17 21:20" 10
gw_data_46 46 43.5779 -48.6299 "2017-08-17 21:30" 10
gw_data_47 47 40.7906 -48.0434 "2017-08-17 21:40" 10
gw_data_48 48 41.065 -48.3368 "2017-08-17 21:50" 10
gw_data_49 49 40.279 -48.1412 "2017-08-17 22:00" 10
