Pointing Time RAJ2000 DEJ2000 Pgw Pgal "Observation window" "RA(HH:MM:SS) Dec (DD:MM:SS)" PriorityGal PriorityGW
0 "2017-08-17 13:50" 40.3898 -48.0434 0.0311 0.0 "2017-08-17 13:49:32-->2017-08-17 17:08:28" "02h41m33.552s -48d02m36.24s" 49 24
1 "2017-08-17 14:00" 41.6704 -48.3368 0.0527 0.0 "2017-08-17 13:54:35-->2017-08-17 17:08:28" "02h46m40.896s -48d20m12.48s" 23 2
2 "2017-08-17 14:10" 42.1685 -48.4345 0.0537 0.0 "2017-08-17 13:56:02-->2017-08-17 17:08:28" "02h48m40.44s -48d26m04.2s" 22 0
3 "2017-08-17 14:20" 41.9663 -48.4345 0.0532 0.0 "2017-08-17 13:55:18-->2017-08-17 17:08:28" "02h47m51.912s -48d26m04.2s" 21 1
4 "2017-08-17 14:30" 42.4662 -48.5323 0.0514 0.0 "2017-08-17 13:57:28-->2017-08-17 17:08:28" "02h49m51.888s -48d31m56.28s" 20 3
5 "2017-08-17 14:40" 41.4686 -48.3368 0.0486 0.0 "2017-08-17 13:53:52-->2017-08-17 17:08:28" "02h45m52.464s -48d20m12.48s" 19 4
6 "2017-08-17 14:50" 42.6689 -48.5323 0.0481 0.0 "2017-08-17 13:58:11-->2017-08-17 17:08:28" "02h50m40.536s -48d31m56.28s" 18 5
7 "2017-08-17 15:00" 41.1745 -48.239 0.047 0.0 "2017-08-17 13:52:25-->2017-08-17 17:08:28" "02h44m41.88s -48d14m20.4s" 17 6
8 "2017-08-17 15:10" 41.3758 -48.239 0.0445 0.0 "2017-08-17 13:53:09-->2017-08-17 17:08:28" "02h45m30.192s -48d14m20.4s" 16 8
9 "2017-08-17 15:20" 41.8722 -48.3368 0.0449 0.0 "2017-08-17 13:55:18-->2017-08-17 17:08:28" "02h47m29.328s -48d20m12.48s" 15 7
10 "2017-08-17 15:30" 40.9732 -48.239 0.0406 0.0 "2017-08-17 13:51:42-->2017-08-17 17:08:28" "02h43m53.568s -48d14m20.4s" 14 13
11 "2017-08-17 15:40" 42.9684 -48.6299 0.0432 0.0 "2017-08-17 13:58:55-->2017-08-17 17:08:28" "02h51m52.416s -48d37m47.64s" 12 11
12 "2017-08-17 15:50" 43.1716 -48.6299 0.0403 0.0 "2017-08-17 14:00:21-->2017-08-17 17:08:28" "02h52m41.184s -48d37m47.64s" 1 15
13 "2017-08-17 16:00" 42.2635 -48.5323 0.0441 0.0 "2017-08-17 13:56:45-->2017-08-17 17:08:28" "02h49m03.24s -48d31m56.28s" 11 9
