Pointing Time RAJ2000 DEJ2000 Pgw Pgal "Observation window" "RA(HH:MM:SS) Dec (DD:MM:SS)" PriorityGal PriorityGW
0 "2023-10-12 12:00" 314.4946 -29.2704 0.1246 0.0 "2023-10-12 18:15:02-->2023-10-13 01:17:23" "20h57m58.704s -29d16m13.44s" 19 0
1 "2023-10-12 12:30" 314.4727 -29.1636 0.1198 0.0 "2023-10-12 18:15:02-->2023-10-13 01:17:23" "20h57m53.448s -29d09m48.96s" 2 2
2 "2023-10-12 13:00" 314.5386 -29.356 0.1167 0.0 "2023-10-12 18:15:02-->2023-10-13 01:18:49" "20h58m09.264s -29d21m21.6s" 3 3
3 "2023-10-12 13:30" 314.4287 -29.0782 0.1057 0.0 "2023-10-12 18:15:02-->2023-10-13 01:17:23" "20h57m42.888s -29d04m41.52s" 4 5
4 "2023-10-12 14:00" 314.5605 -29.463 0.099 0.0 "2023-10-12 18:15:02-->2023-10-13 01:18:49" "20h58m14.52s -29d27m46.8s" 5 6
5 "2023-10-12 14:30" 314.4067 -28.9715 0.0837 0.0 "2023-10-12 18:15:02-->2023-10-13 01:17:23" "20h57m37.608s -28d58m17.4s" 6 8
6 "2023-10-12 15:00" 314.6045 -29.5488 0.0755 0.0 "2023-10-12 18:15:02-->2023-10-13 01:18:49" "20h58m25.08s -29d32m55.68s" 7 10
7 "2023-10-12 15:30" 314.3628 -28.8863 0.062 0.0 "2023-10-12 18:15:02-->2023-10-13 01:15:56" "20h57m27.072s -28d53m10.68s" 8 11
8 "2023-10-12 16:00" 314.6265 -29.656 0.0514 0.0 "2023-10-12 18:15:02-->2023-10-13 01:18:49" "20h58m30.36s -29d39m21.6s" 9 13
9 "2023-10-12 16:30" 314.3188 -28.8011 0.0415 0.0 "2023-10-12 18:15:02-->2023-10-13 01:15:56" "20h57m16.512s -28d48m03.96s" 10 14
10 "2023-10-12 17:00" 314.6704 -29.7419 0.0315 0.0 "2023-10-12 18:15:02-->2023-10-13 01:18:49" "20h58m40.896s -29d44m30.84s" 11 16
11 "2023-10-12 17:30" 314.2969 -28.6948 0.0259 0.0 "2023-10-12 18:15:02-->2023-10-13 01:15:56" "20h57m11.256s -28d41m41.28s" 12 17
12 "2023-10-12 18:00" 314.6924 -29.8064 0.0212 0.0 "2023-10-12 18:15:02-->2023-10-13 01:20:16" "20h58m46.176s -29d48m23.04s" 13 18
13 "2023-10-12 18:30" 314.2749 -28.631 0.018 0.0 "2023-10-12 18:15:02-->2023-10-13 01:15:56" "20h57m05.976s -28d37m51.6s" 14 19
14 "2023-10-12 19:00" 314.4067 -29.0142 0.092 0.0 "2023-10-12 18:15:02-->2023-10-13 01:17:23" "20h57m37.608s -29d00m51.12s" 15 7
15 "2023-10-12 19:30" 314.4727 -29.2063 0.1231 0.0 "2023-10-12 18:15:02-->2023-10-13 01:17:23" "20h57m53.448s -29d12m22.68s" 16 1
16 "2023-10-12 20:00" 314.5386 -29.3988 0.1119 0.0 "2023-10-12 18:15:02-->2023-10-13 01:18:49" "20h58m09.264s -29d23m55.68s" 17 4
17 "2023-10-12 20:30" 314.3188 -28.7586 0.0359 0.0 "2023-10-12 18:15:02-->2023-10-13 01:15:56" "20h57m16.512s -28d45m30.96s" 18 15
18 "2023-10-12 21:00" 314.6265 -29.6131 0.0593 0.0 "2023-10-12 18:15:02-->2023-10-13 01:18:49" "20h58m30.36s -29d36m47.16s" 1 12
19 "2023-10-12 21:30" 314.3848 -28.9502 0.077 0.0 "2023-10-12 18:15:02-->2023-10-13 01:15:56" "20h57m32.352s -28d57m00.72s" 0 9
