Target Id RAJ2000 DEJ2000 Time Duration
gw_GRB231020_T68224_0 0 314.4946 -29.2704 "2023-10-12 12:00" 30
gw_GRB231020_T68224_1 1 314.4727 -29.1636 "2023-10-12 12:30" 30
gw_GRB231020_T68224_2 2 314.5386 -29.356 "2023-10-12 13:00" 30
gw_GRB231020_T68224_3 3 314.4287 -29.0782 "2023-10-12 13:30" 30
gw_GRB231020_T68224_4 4 314.5605 -29.463 "2023-10-12 14:00" 30
gw_GRB231020_T68224_5 5 314.4067 -28.9715 "2023-10-12 14:30" 30
gw_GRB231020_T68224_6 6 314.6045 -29.5488 "2023-10-12 15:00" 30
gw_GRB231020_T68224_7 7 314.3628 -28.8863 "2023-10-12 15:30" 30
gw_GRB231020_T68224_8 8 314.6265 -29.656 "2023-10-12 16:00" 30
gw_GRB231020_T68224_9 9 314.3188 -28.8011 "2023-10-12 16:30" 30
gw_GRB231020_T68224_10 10 314.6704 -29.7419 "2023-10-12 17:00" 30
gw_GRB231020_T68224_11 11 314.2969 -28.6948 "2023-10-12 17:30" 30
gw_GRB231020_T68224_12 12 314.6924 -29.8064 "2023-10-12 18:00" 30
gw_GRB231020_T68224_13 13 314.2749 -28.631 "2023-10-12 18:30" 30
gw_GRB231020_T68224_14 14 314.4067 -29.0142 "2023-10-12 19:00" 30
gw_GRB231020_T68224_15 15 314.4727 -29.2063 "2023-10-12 19:30" 30
gw_GRB231020_T68224_16 16 314.5386 -29.3988 "2023-10-12 20:00" 30
gw_GRB231020_T68224_17 17 314.3188 -28.7586 "2023-10-12 20:30" 30
gw_GRB231020_T68224_18 18 314.6265 -29.6131 "2023-10-12 21:00" 30
gw_GRB231020_T68224_19 19 314.3848 -28.9502 "2023-10-12 21:30" 30
