"Observation Time UTC" RA[deg] DEC[deg] PGW Round
"2023-10-12 12:00:10" 314.4946 -29.2704 0.1246 1
"2023-10-12 12:30:10" 314.4727 -29.1636 0.1198 1
"2023-10-12 13:00:10" 314.5386 -29.356 0.1167 1
"2023-10-12 13:30:10" 314.4287 -29.0782 0.1057 1
"2023-10-12 14:00:10" 314.5605 -29.463 0.099 1
"2023-10-12 14:30:10" 314.4067 -28.9715 0.0837 1
"2023-10-12 15:00:10" 314.6045 -29.5488 0.0755 1
"2023-10-12 15:30:10" 314.3628 -28.8863 0.062 1
"2023-10-12 16:00:10" 314.6265 -29.656 0.0514 1
"2023-10-12 16:30:10" 314.3188 -28.8011 0.0415 1
"2023-10-12 17:00:10" 314.6704 -29.7419 0.0315 1
"2023-10-12 17:30:10" 314.2969 -28.6948 0.0259 1
"2023-10-12 18:00:10" 314.6924 -29.8064 0.0126 1
"2023-10-12 18:30:10" 314.2749 -28.631 0.0108 1
"2023-10-12 19:00:10" 314.4067 -29.0142 0.0009 1
"2023-10-12 19:30:10" 314.4727 -29.2063 0.0006 1
"2023-10-12 20:00:10" 314.5386 -29.3988 0.0003 1
"2023-10-12 20:30:10" 314.3188 -28.7586 0.0003 1
"2023-10-12 21:00:10" 314.6265 -29.6131 0.0002 1
"2023-10-12 21:30:10" 314.3848 -28.9502 0.0 1
