"Observation Time UTC" RA(deg) DEC(deg) PGW Pgal Round ObsName
"2023-04-10 18:34:10" 136.6871 14.0125 0.0259 0.0484 1 CTA-N
"2023-04-10 18:49:10" 137.7998 16.055 0.0145 0.0319 1 CTA-N
"2023-04-10 19:04:10" 144.323 14.2492 0.0232 0.0243 1 CTA-N
"2023-04-10 19:19:10" 147.3578 14.6573 0.012 0.0232 1 CTA-N
"2023-04-10 19:34:10" 145.319 10.6469 0.0139 0.0548 1 CTA-N
"2023-04-10 19:49:10" 149.9095 11.3522 0.017 0.0389 1 CTA-N
"2023-04-10 23:47:10" 122.7113 13.0211 0.0823 0.0724 1 CTA-S
"2023-04-11 00:02:10" 132.2514 15.1299 0.0755 0.0646 1 CTA-S
"2023-04-11 00:17:10" 116.0193 9.4232 0.0819 0.0895 1 CTA-S
"2023-04-11 00:32:10" 141.27 14.6855 0.0449 0.0512 1 CTA-S
"2023-04-11 00:47:10" 151.245 8.7825 0.0272 0.0325 1 CTA-S
