Pointing Time RAJ2000 DEJ2000 Pgw Pgal "Observation window" "RA(HH:MM:SS) Dec (DD:MM:SS)" PriorityGal PriorityGW
0 "2023-08-12 18:58" 319.2188 17.4263 0.0339 0.0 "2023-08-12 18:58:16-->2023-08-13 01:20:15" "21h16m52.512s +17d25m34.68s" 9 0
1 "2023-08-12 19:18" 320.625 15.5589 0.0183 0.0 "2023-08-12 18:58:16-->2023-08-13 01:20:15" "21h22m30s +15d33m32.04s" 8 1
2 "2023-08-12 19:38" 318.5156 11.263 0.0103 0.0 "2023-08-12 18:58:16-->2023-08-13 01:20:15" "21h14m03.744s +11d15m46.8s" 7 5
3 "2023-08-12 19:58" 315.8789 5.3794 0.0105 0.0 "2023-08-12 18:58:16-->2023-08-13 01:20:15" "21h03m30.936s +05d22m45.84s" 6 4
4 "2023-08-12 20:18" 316.9336 8.3855 0.0117 0.0 "2023-08-12 18:58:16-->2023-08-13 01:20:15" "21h07m44.064s +08d23m07.8s" 5 3
5 "2023-08-12 20:38" 310.4297 6.7298 0.0126 0.0 "2023-08-12 18:58:16-->2023-08-13 01:20:15" "20h41m43.128s +06d43m47.28s" 4 2
6 "2023-08-12 20:58" 319.2188 20.2645 0.0058 0.0 "2023-08-12 18:58:16-->2023-08-13 01:20:15" "21h16m52.512s +20d15m52.2s" 3 7
7 "2023-08-12 21:18" 357.7148 32.4429 0.0036 0.0 "2023-08-12 20:34:50-->2023-08-13 01:20:15" "23h50m51.552s +32d26m34.44s" 2 9
8 "2023-08-12 21:38" 320.2734 13.4014 0.0078 0.0 "2023-08-12 18:58:16-->2023-08-13 01:20:15" "21h21m05.616s +13d24m05.04s" 1 6
9 "2023-08-12 21:58" 323.0859 17.1138 0.0046 0.0 "2023-08-12 18:58:16-->2023-08-13 01:20:15" "21h32m20.616s +17d06m49.68s" 0 8
