Target Id RAJ2000 DEJ2000 Time Duration
gw_S190728q_0 0 319.2188 17.4263 "2023-08-12 18:58" 20
gw_S190728q_1 1 320.625 15.5589 "2023-08-12 19:18" 20
gw_S190728q_2 2 318.5156 11.263 "2023-08-12 19:38" 20
gw_S190728q_3 3 315.8789 5.3794 "2023-08-12 19:58" 20
gw_S190728q_4 4 316.9336 8.3855 "2023-08-12 20:18" 20
gw_S190728q_5 5 310.4297 6.7298 "2023-08-12 20:38" 20
gw_S190728q_6 6 319.2188 20.2645 "2023-08-12 20:58" 20
gw_S190728q_7 7 357.7148 32.4429 "2023-08-12 21:18" 20
gw_S190728q_8 8 320.2734 13.4014 "2023-08-12 21:38" 20
gw_S190728q_9 9 323.0859 17.1138 "2023-08-12 21:58" 20
