Pointing Time RAJ2000 DEJ2000 "Observation window" Priority
0 "2023-08-12 18:58" 319.2188 17.4263 "2023-08-12 18:58:16-->2023-08-13 01:20:15" 9
1 "2023-08-12 19:18" 320.625 15.5589 "2023-08-12 18:58:16-->2023-08-13 01:20:15" 8
2 "2023-08-12 19:38" 318.5156 11.263 "2023-08-12 18:58:16-->2023-08-13 01:20:15" 7
3 "2023-08-12 19:58" 315.8789 5.3794 "2023-08-12 18:58:16-->2023-08-13 01:20:15" 6
4 "2023-08-12 20:18" 316.9336 8.3855 "2023-08-12 18:58:16-->2023-08-13 01:20:15" 5
5 "2023-08-12 20:38" 310.4297 6.7298 "2023-08-12 18:58:16-->2023-08-13 01:20:15" 4
6 "2023-08-12 20:58" 319.2188 20.2645 "2023-08-12 18:58:16-->2023-08-13 01:20:15" 3
7 "2023-08-12 21:18" 357.7148 32.4429 "2023-08-12 20:34:50-->2023-08-13 01:20:15" 2
8 "2023-08-12 21:38" 320.2734 13.4014 "2023-08-12 18:58:16-->2023-08-13 01:20:15" 1
9 "2023-08-12 21:58" 323.0859 17.1138 "2023-08-12 18:58:16-->2023-08-13 01:20:15" 0
