"Observation Time UTC" RA(deg) DEC(deg) PGW Round ObsName
"2023-08-12 00:30:10" 313.5938 7.9333 0.2153 1 HESS
"2023-08-12 01:00:10" 316.9336 14.4775 0.1564 1 HESS
"2023-08-12 01:30:10" 315.0 11.263 0.0807 1 HESS
"2023-08-12 02:00:10" 312.3633 4.1815 0.0731 1 HESS
"2023-08-12 18:58:10" 319.2188 17.4263 0.0311 1 MAGIC
"2023-08-12 18:58:10" 321.6797 18.9971 0.0179 1 LST1
"2023-08-12 19:13:10" 316.582 18.21 0.0151 1 LST1
"2023-08-12 19:18:10" 320.625 15.5589 0.0123 1 MAGIC
"2023-08-12 19:28:10" 355.0781 35.1361 0.0094 1 LST1
"2023-08-12 19:38:10" 318.5156 11.263 0.0058 1 MAGIC
"2023-08-12 19:43:10" 358.9453 35.5018 0.0095 1 LST1
"2023-08-12 19:58:10" 315.8789 5.3794 0.0055 1 MAGIC
"2023-08-12 19:58:10" 311.1328 0.7461 0.0066 1 LST1
"2023-08-12 20:13:10" 311.4844 10.0484 0.0061 1 LST1
"2023-08-12 20:18:10" 316.9336 8.3855 0.0046 1 MAGIC
"2023-08-12 20:28:10" 313.9453 15.2494 0.006 1 LST1
"2023-08-12 20:38:10" 310.4297 6.7298 0.004 1 MAGIC
"2023-08-12 20:43:10" 3.1641 34.772 0.0055 1 LST1
"2023-08-12 20:58:10" 319.2188 20.2645 0.0036 1 MAGIC
"2023-08-12 20:58:10" 350.6836 36.4236 0.0054 1 LST1
"2023-08-12 21:13:10" 323.6133 21.7028 0.0048 1 LST1
"2023-08-12 21:18:10" 357.7148 32.4429 0.0033 1 MAGIC
"2023-08-12 21:28:10" 355.2539 37.9217 0.0035 1 LST1
"2023-08-12 21:38:10" 320.2734 13.4014 0.003 1 MAGIC
"2023-08-12 21:43:10" 353.6719 32.9748 0.0026 1 LST1
"2023-08-12 21:58:10" 323.0859 17.1138 0.002 1 MAGIC
"2023-08-12 21:58:10" 1.0547 32.6198 0.0024 1 LST1
"2023-08-12 22:13:10" 314.6484 2.2387 0.0023 1 LST1
"2023-08-12 22:28:10" 309.1992 3.8824 0.0023 1 LST1
