"Observation Time UTC" RA(deg) DEC(deg) PGW Round ObsName
"2023-08-12 18:58:10" 321.6797 18.9971 0.0179 1 LST1
"2023-08-12 19:13:10" 316.582 18.21 0.0151 1 LST1
"2023-08-12 19:28:10" 355.0781 35.1361 0.0094 1 LST1
"2023-08-12 19:43:10" 358.9453 35.5018 0.0095 1 LST1
"2023-08-12 19:58:10" 311.1328 0.7461 0.0066 1 LST1
"2023-08-12 20:13:10" 311.4844 10.0484 0.0061 1 LST1
"2023-08-12 20:28:10" 313.9453 15.2494 0.006 1 LST1
"2023-08-12 20:43:10" 3.1641 34.772 0.0055 1 LST1
"2023-08-12 20:58:10" 350.6836 36.4236 0.0054 1 LST1
"2023-08-12 21:13:10" 323.6133 21.7028 0.0048 1 LST1
"2023-08-12 21:28:10" 355.2539 37.9217 0.0035 1 LST1
"2023-08-12 21:43:10" 353.6719 32.9748 0.0026 1 LST1
"2023-08-12 21:58:10" 1.0547 32.6198 0.0024 1 LST1
"2023-08-12 22:13:10" 314.6484 2.2387 0.0023 1 LST1
"2023-08-12 22:28:10" 309.1992 3.8824 0.0023 1 LST1
