"Observation Time UTC" RA(deg) DEC(deg) PGW Round ObsName
"2023-08-12 18:58:10" 319.2188 17.4263 0.0311 1 MAGIC
"2023-08-12 19:18:10" 320.625 15.5589 0.0123 1 MAGIC
"2023-08-12 19:38:10" 318.5156 11.263 0.0058 1 MAGIC
"2023-08-12 19:58:10" 315.8789 5.3794 0.0055 1 MAGIC
"2023-08-12 20:18:10" 316.9336 8.3855 0.0046 1 MAGIC
"2023-08-12 20:38:10" 310.4297 6.7298 0.004 1 MAGIC
"2023-08-12 20:58:10" 319.2188 20.2645 0.0036 1 MAGIC
"2023-08-12 21:18:10" 357.7148 32.4429 0.0033 1 MAGIC
"2023-08-12 21:38:10" 320.2734 13.4014 0.003 1 MAGIC
"2023-08-12 21:58:10" 323.0859 17.1138 0.002 1 MAGIC
