"Observation Time UTC" RA(deg) DEC(deg) PGW Pgal Round ObsName Duration
"2023-09-15 01:30:10" 12.4239 -25.0508 0.0009 0.0039 1 ESO2 5
"2023-09-15 01:35:10" 13.0993 -24.7357 0.0008 0.0054 1 ESO2 5
"2023-09-15 01:40:10" 13.3238 -25.1856 0.0008 0.0061 1 ESO2 5
"2023-09-15 01:45:10" 13.3536 -25.8268 0.0007 0.0058 1 ESO2 5
"2023-09-15 01:50:10" 13.8415 -25.4486 0.0002 0.0024 1 ESO2 5
"2023-09-15 01:55:10" 13.0173 -26.6524 0.0002 0.0017 1 ESO2 5
"2023-09-15 02:00:10" 13.5257 -26.4876 0.0004 0.0014 1 ESO2 5
"2023-09-15 02:05:10" 13.5499 -26.6574 0.0003 0.0012 1 ESO2 5
"2023-09-15 02:10:10" 11.7751 -23.1807 0.0004 0.0012 1 ESO2 5
"2023-09-15 02:15:10" 11.4275 -22.9973 0.0004 0.0009 1 ESO2 5
