"Observation Time UTC" RA(deg) DEC(deg) PGW Pgal Round ObsName Duration
"2023-09-15 01:30:10" 12.3111 -23.8585 0.003 0.0059 1 LP 5
"2023-09-15 01:35:10" 12.4731 -24.7072 0.0043 0.0036 1 LP 5
"2023-09-15 01:40:10" 13.2693 -24.7044 0.0043 0.0034 1 LP 5
"2023-09-15 01:45:10" 12.6501 -24.0303 0.0029 0.0029 1 LP 5
"2023-09-15 01:50:10" 11.9192 -23.6584 0.0018 0.0025 1 LP 5
"2023-09-15 01:55:10" 13.6014 -25.4641 0.0025 0.0017 1 LP 5
"2023-09-15 02:00:10" 11.1993 -24.8721 0.0009 0.0016 1 LP 5
"2023-09-15 02:05:10" 11.2793 -25.0848 0.0014 0.0021 1 LP 5
"2023-09-15 02:10:10" 11.8182 -23.099 0.0009 0.0023 1 LP 5
"2023-09-15 02:15:10" 12.6067 -24.5754 0.0041 0.0011 1 LP 5
"2023-09-15 02:20:10" 13.9907 -26.2027 0.0012 0.0018 1 LP 5
"2023-09-15 02:25:10" 14.0278 -25.0356 0.0013 0.0008 1 LP 5
