"Observation Time UTC" RA(deg) DEC(deg) PGW Pgal Round ObsName
"2023-09-15 01:30:10" 12.5417 -24.735 0.0009 0.0052 1 SA
"2023-09-15 01:35:10" 12.8744 -24.6425 0.0013 0.0045 1 SA
"2023-09-15 01:40:10" 13.3267 -25.6538 0.0016 0.003 1 SA
"2023-09-15 01:45:10" 13.8415 -25.4486 0.0002 0.0024 1 SA
"2023-09-15 01:50:10" 13.6014 -25.4641 0.0006 0.0017 1 SA
"2023-09-15 01:55:10" 13.369 -25.1132 0.0011 0.0015 1 SA
"2023-09-15 02:00:10" 12.5911 -25.0564 0.001 0.0012 1 SA
"2023-09-15 02:05:10" 12.6067 -24.5754 0.0018 0.0011 1 SA
"2023-09-15 02:10:10" 14.0278 -25.0356 0.0001 0.0008 1 SA
"2023-09-15 02:15:10" 14.3291 -26.3879 0.0001 0.0007 1 SA
