"Observation Time UTC" RA(deg) DEC(deg) PGW Pgal Round ObsName
"2023-09-15 01:30:10" 23.5948 -32.8353 0.0001 0.501 1 ESO
"2023-09-15 01:35:10" 13.1353 -25.2449 0.0018 0.0038 1 ESO
"2023-09-15 01:40:10" 13.2654 -25.1785 0.0008 0.0035 1 ESO
"2023-09-15 01:45:10" 13.3536 -25.8268 0.0007 0.0058 1 ESO
"2023-09-15 01:50:10" 11.8912 -24.9641 0.0007 0.002 1 ESO
"2023-09-15 01:55:10" 12.973 -24.9743 0.0009 0.0017 1 ESO
"2023-09-15 02:00:10" 11.1993 -24.8721 0.0001 0.0016 1 ESO
"2023-09-15 02:05:10" 11.8675 -23.023 0.0002 0.0011 1 ESO
"2023-09-15 02:10:10" 11.2929 -25.2621 0.0004 0.0009 1 ESO
"2023-09-15 02:15:10" 11.4275 -22.9973 0.0004 0.0009 1 ESO
