Pointing Time RAJ2000 DEJ2000 Pgw Pgal "Observation window" "RA(HH:MM:SS) Dec (DD:MM:SS)" PriorityGal PriorityGW
0 "2023-10-12 17:42" 18.6328 14.4775 0.0117 0.0 "2023-10-12 17:43:42-->2023-10-13 03:30:22" "01h14m31.872s +14d28m39s" 10 6
1 "2023-10-12 17:57" 29.1797 28.631 0.0184 0.0 "2023-10-12 17:58:07-->2023-10-13 03:30:22" "01h56m43.128s +28d37m51.6s" 9 4
2 "2023-10-12 18:12" 24.9609 12.0247 0.0361 0.0 "2023-10-12 18:12:32-->2023-10-13 03:30:22" "01h39m50.616s +12d01m28.92s" 8 0
3 "2023-10-12 18:27" 35.5078 26.6101 0.0299 0.0 "2023-10-12 18:26:57-->2023-10-13 03:30:22" "02h22m01.872s +26d36m36.36s" 7 1
4 "2023-10-12 18:42" 28.8281 8.6873 0.0241 0.0 "2023-10-12 18:35:36-->2023-10-13 03:30:22" "01h55m18.744s +08d41m14.28s" 6 2
5 "2023-10-12 18:57" 37.2656 14.1695 0.0232 0.0 "2023-10-12 18:57:13-->2023-10-13 03:30:22" "02h29m03.744s +14d10m10.2s" 5 3
6 "2023-10-12 19:12" 20.7422 11.4152 0.0152 0.0 "2023-10-12 17:56:41-->2023-10-13 03:30:22" "01h22m58.128s +11d24m54.72s" 4 5
7 "2023-10-12 19:27" 31.2891 5.3794 0.0092 0.0 "2023-10-12 18:51:27-->2023-10-13 03:30:22" "02h05m09.384s +05d22m45.84s" 3 7
8 "2023-10-12 19:42" 18.6328 22.0243 0.0092 0.0 "2023-10-12 17:43:42-->2023-10-13 03:30:22" "01h14m31.872s +22d01m27.48s" 2 8
9 "2023-10-12 19:57" 34.4531 6.8801 0.0092 0.0 "2023-10-12 19:01:32-->2023-10-13 03:30:22" "02h17m48.744s +06d52m48.36s" 1 9
10 "2023-10-12 20:12" 26.0156 29.656 0.009 0.0 "2023-10-12 17:43:42-->2023-10-13 03:30:22" "01h44m03.744s +29d39m21.6s" 0 10
