Target Id RAJ2000 DEJ2000 Time Duration
gbm_bn231012231.fit_0 0 18.6328 14.4775 "2023-10-12 17:42" 15
gbm_bn231012231.fit_1 1 29.1797 28.631 "2023-10-12 17:57" 15
gbm_bn231012231.fit_2 2 24.9609 12.0247 "2023-10-12 18:12" 15
gbm_bn231012231.fit_3 3 35.5078 26.6101 "2023-10-12 18:27" 15
gbm_bn231012231.fit_4 4 28.8281 8.6873 "2023-10-12 18:42" 15
gbm_bn231012231.fit_5 5 37.2656 14.1695 "2023-10-12 18:57" 15
gbm_bn231012231.fit_6 6 20.7422 11.4152 "2023-10-12 19:12" 15
gbm_bn231012231.fit_7 7 31.2891 5.3794 "2023-10-12 19:27" 15
gbm_bn231012231.fit_8 8 18.6328 22.0243 "2023-10-12 19:42" 15
gbm_bn231012231.fit_9 9 34.4531 6.8801 "2023-10-12 19:57" 15
gbm_bn231012231.fit_10 10 26.0156 29.656 "2023-10-12 20:12" 15
