Pointing Time RAJ2000 DEJ2000 "Observation window" Priority
0 "2023-10-12 17:42" 18.6328 14.4775 "2023-10-12 17:43:42-->2023-10-13 03:30:22" 10
1 "2023-10-12 17:57" 29.1797 28.631 "2023-10-12 17:58:07-->2023-10-13 03:30:22" 9
2 "2023-10-12 18:12" 24.9609 12.0247 "2023-10-12 18:12:32-->2023-10-13 03:30:22" 8
3 "2023-10-12 18:27" 35.5078 26.6101 "2023-10-12 18:26:57-->2023-10-13 03:30:22" 7
4 "2023-10-12 18:42" 28.8281 8.6873 "2023-10-12 18:35:36-->2023-10-13 03:30:22" 6
5 "2023-10-12 18:57" 37.2656 14.1695 "2023-10-12 18:57:13-->2023-10-13 03:30:22" 5
6 "2023-10-12 19:12" 20.7422 11.4152 "2023-10-12 17:56:41-->2023-10-13 03:30:22" 4
7 "2023-10-12 19:27" 31.2891 5.3794 "2023-10-12 18:51:27-->2023-10-13 03:30:22" 3
8 "2023-10-12 19:42" 18.6328 22.0243 "2023-10-12 17:43:42-->2023-10-13 03:30:22" 2
9 "2023-10-12 19:57" 34.4531 6.8801 "2023-10-12 19:01:32-->2023-10-13 03:30:22" 1
10 "2023-10-12 20:12" 26.0156 29.656 "2023-10-12 17:43:42-->2023-10-13 03:30:22" 0
