"Observation Time UTC" RA(deg) DEC(deg) PGW Round ObsName
"2023-10-12 17:42:18" 22.5 22.3466 0.0277 1 LST1
"2023-10-12 17:42:18" 20.3906 17.8961 0.0217 1 LST2
"2023-10-12 17:42:18" 24.6094 26.9444 0.0169 1 LST3
"2023-10-12 17:42:18" 18.6328 14.4775 0.0094 1 LST4
"2023-10-12 17:57:18" 25.3125 20.4236 0.0516 1 LST1
"2023-10-12 17:57:18" 27.4219 24.953 0.0375 1 LST2
"2023-10-12 17:57:18" 23.2031 16.0241 0.0339 1 LST3
"2023-10-12 17:57:18" 29.1797 28.631 0.0144 1 LST4
"2023-10-12 18:12:18" 29.1797 20.7424 0.0741 1 LST1
"2023-10-12 18:12:18" 27.0703 16.3348 0.0591 1 LST2
"2023-10-12 18:12:18" 30.9375 24.2965 0.0382 1 LST3
"2023-10-12 18:12:18" 24.9609 12.0247 0.0325 1 LST4
"2023-10-12 18:27:18" 31.6406 17.8961 0.0658 1 LST1
"2023-10-12 18:27:18" 33.75 22.3466 0.0484 1 LST2
"2023-10-12 18:27:18" 29.1797 13.248 0.0396 1 LST3
"2023-10-12 18:27:18" 35.5078 26.6101 0.028 1 LST4
"2023-10-12 18:42:18" 35.5078 18.21 0.0394 1 LST1
"2023-10-12 18:42:18" 33.3984 13.8619 0.0349 1 LST2
"2023-10-12 18:42:18" 37.6172 22.6696 0.028 1 LST3
"2023-10-12 18:42:18" 28.8281 8.6873 0.0227 1 LST4
"2023-10-12 18:57:18" 40.7812 26.2768 0.0187 1 LST1
"2023-10-12 18:57:18" 39.375 18.5244 0.0181 1 LST2
"2023-10-12 18:57:18" 33.0469 9.8969 0.0175 1 LST3
"2023-10-12 18:57:18" 37.2656 14.1695 0.0161 1 LST4
"2023-10-12 19:12:18" 24.2578 7.7827 0.0133 1 LST1
"2023-10-12 19:12:18" 42.5391 22.0243 0.0132 1 LST2
"2023-10-12 19:12:18" 38.3203 30.6916 0.0116 1 LST3
"2023-10-12 19:12:18" 20.7422 11.4152 0.0109 1 LST4
"2023-10-12 19:27:18" 43.9453 30.0 0.0095 1 LST1
"2023-10-12 19:27:18" 33.0469 28.9715 0.0085 1 LST2
"2023-10-12 19:27:18" 37.2656 9.8969 0.0081 1 LST3
"2023-10-12 19:27:18" 31.2891 5.3794 0.0076 1 LST4
"2023-10-12 19:42:18" 45.7031 25.6131 0.0073 1 LST1
"2023-10-12 19:42:18" 41.8359 15.0948 0.0067 1 LST2
"2023-10-12 19:42:18" 26.7188 4.4808 0.0064 1 LST3
"2023-10-12 19:42:18" 18.6328 22.0243 0.0056 1 LST4
"2023-10-12 19:57:18" 43.9453 19.4712 0.0042 1 LST1
"2023-10-12 19:57:18" 21.4453 26.6101 0.004 1 LST2
"2023-10-12 19:57:18" 21.7969 6.8801 0.0037 1 LST3
"2023-10-12 19:57:18" 34.4531 6.8801 0.0034 1 LST4
"2023-10-12 20:12:18" 41.4844 32.4429 0.0032 1 LST1
"2023-10-12 20:12:18" 34.1016 31.3882 0.0029 1 LST2
"2023-10-12 20:12:18" 17.5781 17.8961 0.0026 1 LST3
"2023-10-12 20:12:18" 26.0156 29.656 0.0023 1 LST4
"2023-10-12 20:27:18" 39.7266 12.0247 0.0023 1 LST1
