"Observation Time UTC" RA(deg) DEC(deg) PGW Round ObsName
"2023-10-12 17:42:18" 24.6094 26.9444 0.0169 1 LST3
"2023-10-12 17:57:18" 23.2031 16.0241 0.0339 1 LST3
"2023-10-12 18:12:18" 30.9375 24.2965 0.0382 1 LST3
"2023-10-12 18:27:18" 29.1797 13.248 0.0396 1 LST3
"2023-10-12 18:42:18" 37.6172 22.6696 0.028 1 LST3
"2023-10-12 18:57:18" 33.0469 9.8969 0.0175 1 LST3
"2023-10-12 19:12:18" 38.3203 30.6916 0.0116 1 LST3
"2023-10-12 19:27:18" 37.2656 9.8969 0.0081 1 LST3
"2023-10-12 19:42:18" 26.7188 4.4808 0.0064 1 LST3
"2023-10-12 19:57:18" 21.7969 6.8801 0.0037 1 LST3
"2023-10-12 20:12:18" 17.5781 17.8961 0.0026 1 LST3
