Time[UTC] RA(deg) DEC(deg) PGW Pgal Round ObsName Duration FoV
"2023-03-15 20:51:47" 189.4297 27.915 0.0123 0.0322 1 CTAO-N 15 2.0
"2023-03-15 21:06:47" 193.0676 27.5331 0.0168 0.1623 1 CTAO-N 15 2.0
"2023-03-15 21:21:47" 195.988 26.7295 0.0113 0.0301 1 CTAO-N 15 2.0
"2023-03-15 21:36:47" 197.431 21.3202 0.0372 0.0267 1 CTAO-N 15 2.0
"2023-03-15 21:51:47" 198.764 16.0851 0.0575 0.0396 1 CTAO-N 15 2.0
"2023-03-15 22:06:47" 201.3146 13.2759 0.0471 0.0773 1 CTAO-N 15 2.0
"2023-03-15 22:21:47" 202.821 9.3534 0.048 0.0559 1 CTAO-N 15 2.0
"2023-03-15 22:36:47" 203.641 4.9187 0.0435 0.0988 1 CTAO-N 15 2.0
"2023-03-15 22:51:47" 199.282 9.6765 0.0585 0.0295 1 CTAO-N 15 2.0
"2023-03-15 23:06:47" 204.367 2.2204 0.0263 0.0348 1 CTAO-N 15 2.0
"2023-03-15 23:21:47" 197.9681 12.3822 0.0495 0.0247 1 CTAO-N 15 2.0
"2023-03-15 23:36:47" 199.9911 5.8078 0.0351 0.0272 1 CTAO-N 15 2.0
"2023-03-15 23:51:47" 204.374 7.307 0.0144 0.023 1 CTAO-N 15 2.0
"2023-03-16 00:06:47" 206.9102 3.3341 0.0184 0.0244 1 CTAO-N 15 2.0
"2023-03-16 00:21:47" 208.54 -1.8474 0.0241 0.0276 1 CTAO-N 15 2.0
"2023-03-16 02:52:47" 202.516 0.2998 0.0413 0.037 1 CTAO-S 20 4.0
"2023-03-16 03:12:47" 194.558 16.9511 0.1286 0.0366 1 CTAO-S 20 4.0
"2023-03-16 03:32:47" 191.676 21.8288 0.0693 0.0255 1 CTAO-S 20 4.0
"2023-03-16 03:52:47" 202.9798 14.9877 0.0304 0.0291 1 CTAO-S 20 4.0
"2023-03-16 04:12:47" 210.5242 -1.3187 0.0295 0.0203 1 CTAO-S 20 4.0
"2023-03-16 04:32:47" 192.206 29.4243 0.0152 0.0212 1 CTAO-S 20 4.0
