Time[UTC] RA(deg) DEC(deg) PGW Pgal Round ObsName Duration FoV
"2023-09-15 01:30:10" 23.5948 -32.8353 0.0001 0.501 1 ESO 5 0.05
"2023-09-15 01:35:10" 13.1353 -25.2449 0.0018 0.0038 1 ESO 5 0.05
"2023-09-15 01:40:10" 13.2654 -25.1785 0.0008 0.0035 1 ESO 5 0.05
"2023-09-15 01:45:10" 13.3267 -25.6538 0.0016 0.003 1 ESO 5 0.05
"2023-09-15 01:50:10" 11.8912 -24.9641 0.0007 0.002 1 ESO 5 0.05
"2023-09-15 01:55:10" 12.973 -24.9743 0.0009 0.0017 1 ESO 5 0.05
"2023-09-15 02:00:10" 13.369 -25.1132 0.0011 0.0015 1 ESO 5 0.05
"2023-09-15 02:05:10" 11.7751 -23.1807 0.0004 0.0012 1 ESO 5 0.05
"2023-09-15 02:10:10" 11.7207 -23.0334 0.0004 0.0011 1 ESO 5 0.05
"2023-09-15 02:15:10" 11.4275 -22.9973 0.0004 0.0009 1 ESO 5 0.05
