Time[UTC] RA(deg) DEC(deg) PGW Pgal Round ObsName Duration FoV
"2023-09-15 01:30:10" 12.4239 -25.0508 0.0009 0.0039 1 ESO2 5 0.05
"2023-09-15 01:35:10" 13.0993 -24.7357 0.0008 0.0054 1 ESO2 5 0.05
"2023-09-15 01:40:10" 13.3238 -25.1856 0.0008 0.0061 1 ESO2 5 0.05
"2023-09-15 01:45:10" 13.3536 -25.8268 0.0007 0.0058 1 ESO2 5 0.05
"2023-09-15 01:50:10" 13.8415 -25.4486 0.0002 0.0024 1 ESO2 5 0.05
"2023-09-15 01:55:10" 13.0173 -26.6524 0.0002 0.0017 1 ESO2 5 0.05
"2023-09-15 02:00:10" 11.1993 -24.8721 0.0001 0.0016 1 ESO2 5 0.05
"2023-09-15 02:05:10" 11.8182 -23.099 0.0004 0.0011 1 ESO2 5 0.05
"2023-09-15 02:10:10" 13.9761 -25.4065 0.0002 0.0011 1 ESO2 5 0.05
"2023-09-15 02:15:10" 12.7614 -26.9324 0.0002 0.001 1 ESO2 5 0.05
