Time[UTC] RA(deg) DEC(deg) PGW Pgal Round ObsName Duration FoV
"2023-09-15 01:30:10" 12.3111 -23.8585 0.003 0.0059 1 LP 5 0.1
"2023-09-15 01:35:10" 12.4731 -24.7072 0.0043 0.0036 1 LP 5 0.1
"2023-09-15 01:40:10" 13.2693 -24.7044 0.0043 0.0034 1 LP 5 0.1
"2023-09-15 01:45:10" 12.6501 -24.0303 0.0029 0.0029 1 LP 5 0.1
"2023-09-15 01:50:10" 11.9192 -23.6584 0.0018 0.0025 1 LP 5 0.1
"2023-09-15 01:55:10" 13.6014 -25.4641 0.0025 0.0017 1 LP 5 0.1
"2023-09-15 02:00:10" 11.2793 -25.0848 0.0014 0.0021 1 LP 5 0.1
"2023-09-15 02:05:10" 11.8675 -23.023 0.0008 0.0015 1 LP 5 0.1
"2023-09-15 02:10:10" 13.0033 -24.2865 0.0044 0.001 1 LP 5 0.1
"2023-09-15 02:15:10" 11.5004 -22.8118 0.0008 0.0008 1 LP 5 0.1
"2023-09-15 02:20:10" 10.7827 -23.8016 0.0007 0.0015 1 LP 5 0.1
"2023-09-15 02:25:10" 11.5551 -25.9502 0.0004 0.0008 1 LP 5 0.1
