run MergerID RA Dec Distance DistMin DistMax redshift theta ndet SNR A90 A50
run0016 MergerID000340 -77.259 17.294 240738.3 116738.3 240979.3 0.054 2.563 3.0 13.2 48.85 12.53
run0017 MergerID000132 -41.06 -21.345 360152.1 174152.1 360781.6 0.081 3.386 2.0 14.72 1025.407 333.567
run0017 MergerID000261 141.28 -17.392 164038.8 79038.8 164572.9 0.037 4.619 3.0 17.52 85.133 20.392
run0019 MergerID000070 64.601 -76.441 217799.3 104799.3 218048.0 0.049 2.737 3.0 15.86 9.401 2.619
run0019 MergerID000268 111.009 8.255 271116.4 131116.4 271810.2 0.061 4.096 3.0 12.2 168.124 48.528
run0020 MergerID000430 -25.981 -48.901 229111.6 111111.6 229919.3 0.052 4.806 2.0 17.2 745.149 227.396
run0021 MergerID000373 -135.935 76.044 145864.0 70864.0 146132.4 0.033 3.474 3.0 25.01 3.254 0.892
run0025 MergerID000397 -76.32 -43.543 213158.1 103158.1 213839.2 0.048 4.576 2.0 18.4 429.666 109.239
run0026 MergerID000127 -78.321 -58.35 264251.3 128251.3 264587.9 0.06 2.891 3.0 15.14 47.757 10.935
run0027 MergerID000296 -67.848 -40.578 278809.0 134809.0 279454.1 0.063 3.895 2.0 14.32 1052.907 275.17
run0029 MergerID000397 -145.447 -6.227 114009.9 55009.9 114290.2 0.026 4.015 3.0 18.52 28.615 7.971
run0029 MergerID000446 -61.326 -18.029 215033.4 104033.4 215266.2 0.049 2.665 3.0 18.32 55.967 13.583
run0032 MergerID000190 -26.208 24.388 191878.8 92878.8 192280.9 0.043 3.707 3.0 14.96 50.322 14.042
run0038 MergerID000228 89.462 34.582 181429.4 87429.4 181590.5 0.041 2.414 3.0 17.34 39.998 9.995
run0042 MergerID000002 -46.7 -36.387 231362.5 112362.5 232076.7 0.052 4.498 2.0 18.55 482.856 132.346
run0043 MergerID000231 -12.077 50.577 232238.5 112238.5 232516.6 0.053 2.803 3.0 12.07 66.947 13.852
run0043 MergerID000324 -67.647 6.951 295165.0 143165.0 295314.1 0.067 1.821 3.0 12.14 1382.946 389.537
run0043 MergerID000380 -88.328 3.887 265711.3 128711.3 266586.2 0.06 4.645 3.0 13.53 132.949 35.204
run0046 MergerID000029 175.865 -78.669 248624.5 120624.5 249114.2 0.056 3.594 3.0 12.67 23.478 5.919
run0046 MergerID000300 -113.781 26.661 93023.13 45023.13 93357.1 0.021 4.85 3.0 35.88 1.888 0.553
run0048 MergerID000219 -54.411 -28.85 256015.0 124015.0 256839.9 0.058 4.595 2.0 15.63 968.387 329.58
run0048 MergerID000465 -16.111 -44.869 404840.6 195840.6 405088.1 0.092 2.003 2.0 12.39 1432.202 438.531
run0051 MergerID000434 7.192 -61.67 248623.2 119623.2 248676.5 0.056 1.186 3.0 18.85 8.22 2.14
run0055 MergerID000324 34.723 -39.466 136146.3 66146.3 136592.2 0.031 4.633 3.0 26.25 2.766 0.79
run0055 MergerID000328 -19.184 -40.069 436090.8 211090.8 436935.9 0.099 3.565 3.0 12.52 267.046 28.697
run0067 MergerID000038 30.421 -56.196 244870.5 118870.5 245414.3 0.055 3.816 3.0 15.28 21.934 6.113
run0067 MergerID000395 -170.969 4.977 111029.1 53029.1 111098.5 0.025 2.026 3.0 33.2 5.652 1.597
run0070 MergerID000064 -151.003 51.49 423005.3 205005.3 424360.5 0.096 4.582 3.0 12.89 45.728 9.244
run0076 MergerID000465 -36.667 -13.823 181200.8 87200.8 181310.2 0.041 1.991 3.0 20.98 15.187 4.186
run0079 MergerID000383 -39.934 19.971 208033.0 101033.0 208594.4 0.047 4.206 3.0 13.89 104.964 32.057
run0086 MergerID000466 -74.73 -23.286 209353.1 101353.1 210086.5 0.047 4.791 2.0 16.1 577.014 189.274
run0093 MergerID000008 -19.372 -37.687 355266.6 172266.6 355379.1 0.08 1.442 3.0 12.81 88.613 12.927
run0096 MergerID000038 -28.808 -2.846 295927.6 142927.6 296317.5 0.067 2.94 3.0 12.61 138.926 30.447
run0099 MergerID000496 -91.154 -6.886 68038.75 33038.75 68146.56 0.015 3.224 3.0 41.82 8.109 2.104
run0101 MergerID000172 76.384 -29.302 254169.3 123169.3 254833.2 0.057 4.138 3.0 12.08 31.365 8.076
run0106 MergerID000232 39.252 -82.558 218412.9 105412.9 218844.0 0.049 3.598 3.0 18.34 7.65 2.216
run0109 MergerID000136 -57.068 -11.265 213175.2 103175.2 213281.5 0.048 1.809 3.0 18.97 38.453 10.296
run0111 MergerID000027 172.957 13.896 340453.1 164453.1 340719.5 0.077 2.266 3.0 13.69 49.728 11.35
run0111 MergerID000118 26.494 -44.143 372708.3 180708.3 373514.4 0.084 3.766 3.0 12.36 30.711 6.928
run0114 MergerID000299 -125.197 18.781 132405.1 64405.1 132839.4 0.03 4.636 3.0 21.59 5.502 1.55
run0115 MergerID000189 164.46 -39.272 166525.1 80525.1 166588.3 0.038 1.578 3.0 15.04 25.957 7.232
