RunList MergerID Distance Theta A90 Lum Duration  TotObs TotalPossible FirstCovered TimesFound TotalProb
run0016 ID000340 240738.3 2.563 48.85 1.00166604162806e+52 10 9 348 4 1 0.9755
run0017 ID000132 360152.1 3.386 1025.407 1.0812302602187e+52 24 348 -1 0 -1 0.32320000000000004
run0016 ID000340 240738.3 2.563 48.85 1.00166604162806e+52 10 9 348 4 1 0.9755
run0017 ID000132 360152.1 3.386 1025.407 1.0812302602187e+52 24 348 -1 0 -1 0.32320000000000004
run0016 ID000340 240738.3 2.563 48.85 1.00166604162806e+52 10 9 348 4 1 0.9755
run0017 ID000132 360152.1 3.386 1025.407 1.0812302602187e+52 24 348 -1 0 -1 0.32320000000000004
run0016 ID000340 240738.3 2.563 48.85 1.00166604162806e+52 10 9 348 4 1 0.9755
run0017 ID000132 360152.1 3.386 1025.407 1.0812302602187e+52 24 348 -1 0 -1 0.32320000000000004
run0016 ID000340 240738.3 2.563 48.85 1.00166604162806e+52 10 9 348 4 1 0.9755
run0017 ID000132 360152.1 3.386 1025.407 1.0812302602187e+52 24 348 -1 0 -1 0.32320000000000004
run0016 ID000340 240738.3 2.563 48.85 1.00166604162806e+52 10 9 348 4 1 0.9755
run0017 ID000132 360152.1 3.386 1025.407 1.0812302602187e+52 24 348 -1 0 -1 0.32320000000000004
run0016 ID000340 240738.3 2.563 48.85 1.00166604162806e+52 10 9 348 4 1 0.9755
run0017 ID000132 360152.1 3.386 1025.407 1.0812302602187e+52 24 348 -1 0 -1 0.32320000000000004
run0016 ID000340 240738.3 2.563 48.85 1.00166604162806e+52 10 9 348 4 1 0.9755
run0017 ID000132 360152.1 3.386 1025.407 1.0812302602187e+52 24 348 -1 0 -1 0.32320000000000004
