# Simulated BNS merger with GW detection; this is based on Patricelli et al . 2016, 2018
#run	MergerID	RA	Dec	Distance	DistMin	DistMax	redshift	theta	n det	SNR	90%C.R.	50%C.R.
#
run0001	MergerID000001	-5.366	-29.906	3.275139e+05	1.645139e+05	3.392461e+05	0.074	15.179	2	14.290	954.736	206.440
run0001	MergerID000017	-20.710	-29.623	2.845460e+05	1.555460e+05	3.210480e+05	0.064	28.009	2	13.010	1366.475	415.975
run0001	MergerID000023	125.118	3.213	2.479752e+05	1.259752e+05	2.609223e+05	0.056	18.241	3	14.190	116.662	30.690
run0001	MergerID000031	-131.186	-1.899	1.147304e+05	7.373040e+04	1.540785e+05	0.026	43.462	2	12.730	244.038	60.521
run0001	MergerID000048	-62.606	-53.594	1.367942e+05	6.679420e+04	1.384018e+05	0.031	8.754	3	32.290	19.779	5.353
run0001	MergerID000063	17.343	-55.402	8.918566e+04	4.798688e+04	1.861857e+05	0.020	68.698	3	20.760	6.499	1.696
run0001	MergerID000064	-62.796	-42.504	2.295640e+05	1.205640e+05	3.385640e+05	0.052	51.053	2	12.060	1015.178	248.287
run0001	MergerID000126	-52.086	-7.598	2.072841e+05	1.222841e+05	2.922841e+05	0.047	47.593	2	13.160	1273.366	411.254
run0001	MergerID000132	102.358	54.433	1.190272e+05	7.702720e+04	1.596758e+05	0.027	43.384	3	22.480	43.411	9.177
run0001	MergerID000145	-21.384	-51.538	1.825309e+05	1.015309e+05	2.098766e+05	0.041	30.099	3	23.420	197.182	42.325
run0001	MergerID000149	-179.056	-83.993	2.010972e+05	1.110972e+05	2.910972e+05	0.045	49.743	3	12.860	21.903	5.751
run0001	MergerID000165	-106.036	70.380	1.981236e+05	1.001236e+05	2.082807e+05	0.045	18.080	3	17.270	11.036	3.113
run0001	MergerID000183	143.783	15.706	1.580465e+05	1.141661e+05	4.420465e+05	0.036	79.829	2	12.910	1382.631	470.372
run0001	MergerID000197	25.541	-34.634	2.318443e+05	1.298443e+05	3.338443e+05	0.052	49.258	3	13.940	27.085	6.968
run0001	MergerID000212	0.034	63.878	4.722949e+04	2.622949e+04	5.584077e+04	0.011	32.930	3	48.900	1.016	0.302
